cuisine,name
Bars,The Back Room
Sports Bars,Momo n Wings
Indian,Tasty Indian Bistro
Breakfast & Brunch,The Wooden Spoon
Steakhouses,Vault Restaurant
Bakeries,Tokyo Mithaiwala
Korean,Chuihong
Malaysian,Banana Leaf
Korean,Yory Korean Cuisine
Indian,Clove
Comfort Food,Liberty Kitchen
Japanese,Yugafu Japanese Bistro
Mediterranean,Jerusalem Grill & Shawarma
French,Old Surrey Restaurant
Sports Bars,The Social Tavern
Tapas Bars,Showshaa - The Modern Taproom
Delicatessen,The Carvery Sandwich Shop
Mexican,Zapoteca
Canadian (New),Cactus Club Cafe
Indian,Chacha's Tandoor & Grill
Cocktail Bars,Haven Kitchen + Bar
Korean,Boom Beer
Mexican,Tacoholic
Korean,Baik Mi Korean Restaurant
Seafood,Five
Ramen,Maruhachi Ra-men
Indian,Ambar Surrey  Dhaba
Filipino,Bacayon's Chibugan
Indian,Ustaad G
Himalayan/Nepalese,Spice of Nepal
Korean,Woorinara Korean Restaurant
Korean,Rib & Chicken
Korean,bb.q Chicken & Pub
Diners,Waffle House Diner
Breakfast & Brunch,Ruex Cafe & Bar
Burgers,Meltwich Food Co
Japanese,Mr Tonkatsu
Afghan,Afghan Kitchen South Surrey
Tapas/Small Plates,Tap Restaurant
German,The Tannenbaum Restaurant
Breakfast & Brunch,Delphi Brunch Cafe
Italian,La Baia Italian Restaurant
Donairs,German Doner Kebab
Italian,Pasta Timo
Laotian,Naka Bistro Lao & Thai Cuisine
Chinese,Dragon Village Restaurant
Japanese,Hanako Japanese Restaurant
Canadian (New),Dominion Bar + Kitchen
Pizza,Captain's Oven Pizza
Japanese,Ato Sushi Bar Kitchen
Bars,"The Ocean Beach Crafts, Drafts & Eats"
Buffets,Diamond Buffet
Japanese,Katana
Korean,Kovan Korean Restaurant
Greek,My Greek Taverna
Indian,PARATHA 2 PASTA
Steakhouses,S+L Kitchen & Bar South Surrey
Ramen,Hiroshi Ramen
Persian/Iranian,Avishan Authentic Middle East Grill
Indian,Chaiiwala of London
Japanese,Sushi Iwa
Chinese,ChongQing Restaurant
Vietnamese,Bánh Mì Très Bon - White Rock
Korean,Banchan Korean Bistro
Korean,Agoongyi Korean Restaurant
Indonesian,Peranakan Kitchen
Chinese,The Bao Place
Japanese,Kai Japanese Restaurant
Indian,Bandra Cafe
French,Le Jardin
Italian,Ladybird's Trattoria
Fish & Chips,Chick to Sea Fish and Chips
Lebanese,Wild Thyme
Barbeque,Porkmafia
Barbeque,BBQ King Delight
Delis,Estrella's Montreal Deli & Cafe
Greek,Zythos Greek Mediterranean Grill
German,Uli's Restaurant
German,Elizabeth's Chalet Restaurant
Ramen,KINTON RAMEN SURREY
Burgers,Fab Burgers
Italian,The Italian Osteria & Cheesebar
Breakfast & Brunch,Eggcetra Breakfast Cafe
Chicken Shop,Major Joy Flavoured Chicken
African,The Taste of Africa
Greek,The Greek Corner
Korean,Seoul Grill House
Buffets,Langley Buffet
Vietnamese,Chopsticks On Pho
Filipino,La Meza Grill
Chicken Shop,Chicken World
Indian,An Indian Affair
Pubs,Browns Socialhouse Panorama
Lebanese,Shawarma Palace
Greek,New York New York
Chinese,The Bund Shanghai Cuisine & Bar
Ramen,Menzou Ramen & Bubble Tea
Mexican,Guacamole Mexican Grill
Seafood,Tap & Barrel
Ramen,Full Ramen
Korean,Woo Korean BBQ
Thai,One More Thai
Thai,Sabai Thai Restaurant
Afghan,Afghan Chopan Restaurant
Filipino,Grandt Kitchen
Caribbean,Tommies Jerk
Afghan,Great Afghan Kabob
Mexican,Ay Chihuahua
Breakfast & Brunch,OEB Breakfast - Langley
Caribbean,PG's Jamaican Restaurant
Burgers,Texx Big Burger
Salad,Earls Kitchen + Bar
Indian,Sam’s Chaat House
Canadian (New),The Lodge Steakhouse
Portuguese,Barcelos Flame Grilled Chicken
Fish & Chips,Hooked Fish Bar
Chinese,Main Choice Chinese Restaurant
Canadian (New),The Cabin Restaurant
Taiwanese,Bubble 88
Himalayan/Nepalese,Momo Factory
Canadian (New),Skye Avenue Kitchen & Lounge
Thai,Kin Thai Kitchen & Bar
Cocktail Bars,The Raving Gamer Bistro
Japanese,Sapporo Kitchen
Asian Fusion,Inchin's Bamboo Garden
Filipino,Cabizerra Bistro
Pizza,Natalino’s Pizza
Indian,Curry and Kabab
Hakka,Dragon Wok
Pubs,Browns Socialhouse Guildford
Food Court,The Courtyard
Malaysian,Malaysian Hut
Korean,Arirang Korean Restaurant
Skating Rinks,Excellent Ice
Mexican,Taqueria Jalisco Restaurant
Thai,Thai By Thai
Barbeque,Moku Kaulana Hawaiian Barbecue
Gastropubs,Oak & Thorne
Hawaiian,Steve's Poké Bar
Middle Eastern,Palmyra Mediterranean Grill
Filipino,Archie's BBQ
Southern,Bros Bbq
Japanese,Akari Japanese Restaurant
Fast Food,Jollibee
Fast Food,Jollibee
Burgers,Streats
Canadian (New),Browns Socialhouse Surrey Centre
Indian,Happy Singh Street Eats
Indian,Chaiiwala of London - Nordel
Asian Fusion,Chili House Restaurant
Delis,Hansel Deli
Seafood,Seahorse Grill
Sandwiches,Banh Mi Bar Restaurant
Indian,Krispy Samosa
Indian,Pindi Dhaba
Breakfast & Brunch,The Waffle Co
Korean,Mama Moon Korean Food
Japanese,Tawara Japanese Restaurant
Mexican,Miltomates Foods
Indian,Kerala Kitchen
Vietnamese,Pho Tam Restaurant
Mexican,Salsa & Guacamole
Japanese,Sushi California - Surrey
Chinese,Ming Yan Seafood Restaurant
Pizza,Charcoal & Woodz Restaurant & Bar
Chicken Wings,Wing'N It Express
Pizza,Porto Fino Express
Asian Fusion,East Meets West
Belgian,The Spud Shack Fry
Himalayan/Nepalese,Taste of Himalayas
Brazilian,WhataFood Brazilian Street Food
Himalayan/Nepalese,The Momo Grill
Fish & Chips,Pelican Rouge Fish & Chips
Thai,Mek's Delight
Breakfast & Brunch,IHOP
Delis,Altmaerker German Sausage House And Deli
Mongolian,Mongo Bongo
Korean,Big Chicken Town
Delis,Delitalia Fine Foods
Chinese,Jade Valley Restaurant
Indian,Verandah - Cafe by the Beach
Cafes,The Chopped Leaf
Indian,The Samosa House
Indian,My Shanti
Sandwiches,West Village Cafe
Steakhouses,S+L Kitchen & Bar Langley
Indian,Kelly’s Restaurant
Korean,Lee Gar Nei
Indian,Village Curry
Indian,The Indian Club
Canadian (New),Cactus Club Cafe
Sushi Bars,Sushi Shogun
Japanese,The Katsu  Japanese Cutlet House
Vegan,Grounds & Greens
Greek,Greek Fellas Restaurant
Indian,Green Lettuce Indian Style Chinese Restaurant
Steakhouses,Atlas Steak + Fish
Chinese,Golden Panda Restaurant
Seafood,Washington Avenue Grill
Indian,Ustaad G76
Ramen,Umami Ramen And Grill
Bakeries,Kozak Ukranian Eatery
Indian,Rasoi Restaurant
Italian,Piva Modern Italian
Breakfast & Brunch,Twin Bridges Restaurant and Catering
Mexican,Sal y Limon
Taiwanese,Bubble World
Sushi Bars,MasQueSolo
Filipino,Epic Grill Silogs + Sans Rival
Korean,Bon Ga Korean Restaurant
Indian,Planet India
Sushi Bars,Umami Sushi
Seafood,Moby Dick
Indian,Lighthouse
Chinese,Menz Noodle House 面子
Burgers,The Barley Merchant
Caribbean,D Roti Shak
Ramen,Akedo Showten Ramen + Gyoza
Food Trucks,JAPADOG
Korean,Chicko Chicken
American,strEATS
Seafood,Venetis Restaurant Steak & Seafood House
Indian,New Parmar Sweets & Restaurant
Pizza,Hellcrust Pizza
Indian,Delight Street Eats
Bakeries,King Sweets
Italian,Olive Garden Italian Restaurant
Pop-Up Restaurants,Black Market Supper Club
Japanese,Isshin Sushi
Burgers,Chic Chic Chicken
Japanese,Ding Sushi Japanese Restautant
Chicken Shop,Pelicana Chicken
Indian,Krispy Samonsa
Bars,Sammy J's Grill & Bar
Lebanese,Mashawee Lebanese Grill
Vietnamese,Obanhmi
Indian,Panorama Indian Lounge
Indian,Red Rose Restaurant
Canadian (New),Food by Fanta
Indian,Ustaad G 76
Asian Fusion,Asian Jazz
American,Skewer Grill
Breakfast & Brunch,Cora
German,The Old Bavaria Haus
Vegetarian,GNJ Vegetarian Bistro
Chicken Shop,Popeyes Louisiana Kitchen
Breakfast & Brunch,Hot & Toasty Cafe
Cafes,Rosie's Country Cafe
Thai,Ban Chok Dee Thai Cuisine-Langley
American,Ken's Cafe
Japanese,Red Shiso
Thai,Longtail Kitchen
Persian/Iranian,Shiraz Grill
Mexican,Adelicia's
Vietnamese,Nha Toi Boutique Cafe and Truedan
Chinese,Don Asian Kitchen
Pakistani,Time To Grill
Buffets,The Buffet
Turkish,Shannon Donair
Chinese,Shang Noodle House
Italian,Artusi Restaurant
Pizza,Dawood's Pizza
Vegetarian,Namdhari’s Restaurant
Filipino,Bigboy's Chigs To Go
Indian,Tandoori Flame
Caribbean,The Real Patty Co
Pubs,Guildford Station Pub
Pizza,Cheesey Pizza Corner
Indian,Spice Kings Bistro
Middle Eastern,Layalina Restaurant
Donairs,Tasty Donair
Food Stands,The Altitude Foods
Korean,Papa's Box
Cafes,Belle's Cafe
Korean,Jin Soo Sung Chan Korean Restaurant
Bars,Original Joe's Restaurant & Bar
Desserts,Paanwala Of Surrey
Street Vendors,Masala Hut
Canadian (New),Bunkers Bar & Grill
Indian,Spice Republic
Japanese,Sushi Wara
Chicken Shop,Prinkle Chicken
Vietnamese,Pho Sunrise
Vietnamese,Five Corners Vietnamese Restaurant
Pizza,Emilio Finatti Pizzeria - Langley
Falafel,Donair Bite
Bistros,Hawthorne Beer Market & Bistro
Breakfast & Brunch,White Spot Panorama
Sushi Bars,Taka's Sushi
Canadian (New),Browns Socialhouse Sun:shine Hills
Sushi Bars,Sushi King George
Cafes,Kids Play Cafe & Cafe Artistico
Desserts,Beavertails
Seafood,Crescent Beach Bistro
Chinese,Dragon's Chop Suey House
Falafel,Crispy Falafel
Barbeque,Re-Up BBQ
Food Delivery Services,Priya's Satvik Kitchen
Chinese,Fishermans Chinese Fusion
Mexican,El Santo
Chicken Shop,CHITOS chicken
Sushi Bars,Mauna Sushi
Indian,The Samosa House
Mexican,Chipotle Mexican Grill
Portuguese,Barcelos Flame Grilled Chicken
Pizza,Ocean Park Pizza & Village Pub
Poutineries,strEATS
Filipino,Nanay Kitchen
Indian,Tandoori Flare
Indian,Spice 72 Indian Restaurant & Lounge
Hawaiian,Steve’s Poké Bar
Burgers,Fatburger
Indian,Mumbai Hut
Canadian (New),Annora Restaurant
Cafes,Cornerstone Cafe
Diners,Coast & Country Caterers
Pizza,All Around Pizza
Pizza,Chicago's Pizza Twist
Vietnamese,EMW
Canadian (New),Cactus Club Cafe
