county,embedding
Adams Illinois," 0.01222969,-0.03177511, 0.01924276, 0.02910009, 0.00526376, 0.01882021,-0.02061799, 0.01101903, 0.02603794, 0.01408938, 0.00937623, 0.02211204, 0.017988  , 0.01066408, 0.00306254, 0.01142514,-0.02096636,-0.0073111 ,-0.01570621,-0.00143917,-0.01221276, 0.01354473, 0.01504764, 0.00359935, 0.01428382, 0.01194862,-0.0021671 , 0.01871365, 0.00874632, 0.00668641, 0.00118812, 0.01505833, 0.00499497, 0.00186858,-0.0005816 ,-0.01092732,-0.00892476, 0.00054311, 0.01622676, 0.00830904, 0.00929296, 0.00453709,-0.01944939,-0.00782303, 0.00721146, 0.01712756,-0.00916158,-0.00176844,-0.01747779,-0.00787991"
Adams Indiana,"-1.9841712e-02,-2.1926899e-02, 3.9113089e-03, 4.5542397e-02,-2.8052213e-02, 8.2458686e-03, 7.2254585e-03, 5.1306551e-03, 3.4982476e-03, 1.3667106e-02, 4.9990872e-03, 1.9999193e-02,-1.9674294e-02, 5.8831987e-03, 2.1430666e-02,-5.2131303e-03,-2.8356104e-03,-2.3366302e-02, 6.2554507e-03,-8.3383452e-03, 2.7103408e-03,-4.0897480e-03,-5.3571258e-03,-2.3382697e-02,-5.0985562e-03, 1.3597245e-02,-4.5185736e-03,-3.7996017e-03, 3.1004882e-05, 8.8879699e-03, 1.2799802e-02, 4.4394457e-03, 1.1913985e-03, 4.6001594e-03,-5.2941223e-03,-4.4805827e-03,-8.1641469e-03,-4.1002240e-03, 1.0344391e-02,-8.0056414e-03, 3.6286644e-03,-6.9876253e-03,-2.0507823e-03, 4.7839377e-03, 2.7239423e-03, 4.6145502e-03,-1.1887000e-02, 6.3009048e-03,-4.8885643e-03,-7.7484024e-04"
Adams Iowa,"-0.04800801, 0.05286462, 0.01430907, 0.02468047,-0.03541424, 0.01351037, 0.01446193, 0.01835715, 0.01050308, 0.02479957,-0.01417672, 0.01569767, 0.02222899,-0.01120811, 0.01388794, 0.01321615,-0.00736272, 0.01267384,-0.00575847, 0.03602927,-0.00099753, 0.02087413,-0.00425136, 0.01250573, 0.00434271,-0.00956691,-0.0202216 , 0.01940669, 0.02393548,-0.02220295,-0.00625357,-0.00135378,-0.00193204, 0.00407719,-0.03832963,-0.00010486,-0.01148854,-0.01541952, 0.00862179,-0.0089799 , 0.00436302,-0.00045207,-0.04579902,-0.00432174, 0.00783268,-0.00074181, 0.00031815, 0.00991762,-0.00255346,-0.00590894"
Adams Mississippi,"-0.01467319,-0.03939619,-0.00623299, 0.03941408, 0.0552266 ,-0.00599013,-0.00234087,-0.01423861,-0.0148525 ,-0.01589702,-0.00270859, 0.02956055,-0.00125511, 0.00735475, 0.00092797, 0.00660389,-0.00059693,-0.00357701,-0.01166884, 0.01316261, 0.00390686,-0.00033965, 0.01533884, 0.02035682,-0.00563818, 0.0032057 ,-0.0058404 , 0.01031581,-0.00132297, 0.00933758,-0.01133888, 0.00210616, 0.00337943,-0.02065705,-0.00488553,-0.01364304,-0.01137741, 0.00052534, 0.00092536, 0.01259367,-0.00290568,-0.00732907,-0.00273701,-0.0070731 , 0.00583504,-0.00444463,-0.0098617 , 0.00400476,-0.00617173, 0.00865035"
Adams Nebraska," 0.015506  ,-0.02105748, 0.00835715, 0.00178991, 0.01175589,-0.00394595,-0.04179062, 0.01597204, 0.01862474, 0.01747959, 0.0231435 ,-0.0313399 ,-0.0035201 , 0.01729879, 0.01907139,-0.00123169, 0.01405099, 0.00648062,-0.01145988, 0.01515259, 0.00250323, 0.00408315,-0.00213316,-0.01953288, 0.01693386,-0.0073142 ,-0.02411151,-0.00903586,-0.01064606, 0.0064007 ,-0.00041175, 0.00624206,-0.00716614, 0.00081186, 0.00072939, 0.00909804,-0.02431558, 0.00612488, 0.00262752,-0.00180438, 0.01322562, 0.00634046, 0.00765247, 0.01546667, 0.01211243,-0.0033164 , 0.01052303, 0.00530248,-0.00960315, 0.00841159"
Adams North Dakota,"-0.05900407, 0.10055934,-0.02280585,-0.04793669, 0.03238386,-0.07153353, 0.00925192, 0.04713957,-0.04423223, 0.01191935, 0.00434805, 0.04631675,-0.01362198,-0.02280427, 0.00020592,-0.00304933,-0.00727207, 0.01191426, 0.01890793, 0.03452715,-0.02140893,-0.01815598, 0.0248752 ,-0.02918573,-0.00391828,-0.00467166,-0.03677072,-0.00882027, 0.02006657, 0.00074117,-0.0149805 , 0.00533003, 0.01688978,-0.00264707,-0.00071576,-0.04642905,-0.00579387, 0.00914551,-0.00703821, 0.03961198, 0.01593188,-0.02127718, 0.03316897,-0.07376933, 0.00404791,-0.00440531,-0.00531594, 0.0033485 ,-0.03103762,-0.00178158"
Adams Ohio,"-0.01515173,-0.0039385 , 0.02513762, 0.04029682,-0.01392991, 0.01434827, 0.00448796, 0.03098733,-0.00699335, 0.00316664, 0.0034678 ,-0.00290705, 0.00944885, 0.00968868,-0.00682358, 0.00407062,-0.00653002,-0.00947837,-0.00583558,-0.0098654 , 0.00258091,-0.01451476, 0.00913833,-0.00033319, 0.00323761, 0.02471843,-0.00880683, 0.01487698, 0.00614461, 0.0060005 , 0.01018869, 0.00779641, 0.00743996, 0.01082393,-0.01531445,-0.00408814,-0.01180275,-0.00380134, 0.00726997,-0.00023517, 0.00774224, 0.01320261,-0.01019244,-0.00405236,-0.0152643 , 0.0129951 , 0.01198741, 0.00022335,-0.00670032, 0.00660353"
Adams Pennsylvania,"-0.0260437 ,-0.00084618, 0.00072623,-0.00901453,-0.01824632, 0.02666807, 0.02185522, 0.03346772,-0.02913409, 0.01615835,-0.00501269, 0.0016535 , 0.04182413, 0.00713398,-0.00355793, 0.01080217,-0.0170553 ,-0.02636991, 0.00011223, 0.00884203, 0.01053696, 0.00102749,-0.00379786, 0.00532217,-0.00298506, 0.0075271 ,-0.00167301, 0.01123887, 0.00131415,-0.00503339,-0.00184051,-0.00276521,-0.0066611 , 0.01005578, 0.00507574,-0.00818509, 0.00674941, 0.01318761,-0.00340319,-0.0040179 , 0.00792299,-0.00770916,-0.01119231, 0.00318055,-0.00976273, 0.01075573,-0.00155333,-0.00967993,-0.01067957, 0.00217437"
Adams Washington,"-0.0016152 ,-0.01169747, 0.01952774,-0.01295125,-0.03112856, 0.01822653,-0.00767741, 0.01619271,-0.01286178, 0.00863166,-0.0020521 , 0.00324471, 0.01738355, 0.00325143,-0.00559381,-0.00349121,-0.00492275,-0.00895781,-0.01276126, 0.00344931,-0.0030514 , 0.01039273, 0.00613511,-0.01961102, 0.01007368,-0.00154842, 0.00448031, 0.00034089, 0.00197735, 0.01074702,-0.00777673, 0.00386465, 0.01126556, 0.00746731,-0.00130074,-0.0020527 ,-0.0044339 ,-0.00443182, 0.00749113,-0.0081599 , 0.01823987, 0.0006675 ,-0.00708984,-0.0135588 ,-0.00455046, 0.01587625, 0.00341908,-0.01013569,-0.0261522 , 0.01125645"
Adams Wisconsin,"-0.01844896, 0.11027401, 0.05648012, 0.0024703 , 0.0451749 , 0.00183905,-0.04190317, 0.02089578,-0.00937282,-0.02726767, 0.00842342,-0.00888823, 0.01281053,-0.00622959, 0.01304691, 0.01230211,-0.00666178,-0.0087773 , 0.00027173, 0.01052626,-0.01317998, 0.02276091, 0.00241655,-0.00460313, 0.00386993,-0.00792113,-0.01333087, 0.01019401,-0.00891257,-0.00749323,-0.01281449, 0.0128712 , 0.02037724,-0.00369299,-0.01091856,-0.00407338,-0.00735562,-0.00679763, 0.00766966, 0.00136841, 0.00829968, 0.01181598,-0.00281759,-0.00482027,-0.00763368,-0.00670342,-0.01221708, 0.00139251,-0.00387176, 0.00021415"
