county,embedding
Abbeville South Carolina,"-4.5424150e-03, 8.4450636e-03,-2.3409911e-02, 1.0940071e-02,-3.0478763e-03,-6.9865296e-03, 5.2050576e-02,-6.5895244e-03, 2.9931044e-02, 3.5507318e-02, 1.4639979e-02, 1.4594919e-02, 5.2005379e-03,-6.6164583e-03, 1.5621548e-02,-3.6289648e-03, 3.1438456e-03, 1.4136767e-03,-1.4281289e-02, 6.7470311e-03,-1.0526791e-02, 1.6737704e-03,-4.2348076e-03,-6.6815183e-04, 1.4784157e-03,-1.1119613e-02,-5.1698922e-03,-3.4518319e-03,-6.3588195e-03, 2.6582945e-03, 4.8075961e-03,-4.3619717e-03, 1.0709236e-02,-2.2840339e-03, 8.5318713e-03, 2.8439271e-03, 1.2082293e-03, 9.5249871e-03, 9.0831826e-03,-1.2256018e-02,-6.3625624e-04,-3.5674456e-03, 5.6466712e-03,-5.9683127e-03, 9.0188580e-05, 3.1235765e-03,-9.4483315e-04, 4.3192093e-04, 9.7163732e-04,-2.6773317e-03"
Acadia Parish Louisiana," 3.8651903e-03,-7.8834161e-02,-4.0064018e-02, 7.1939737e-02, 9.9215627e-02, 6.1492916e-02, 1.4773509e-01, 1.9094393e-02, 5.6109715e-02, 5.3987037e-02,-3.6837470e-02,-5.6866664e-02, 2.4495529e-01, 1.2292558e-01, 1.1040790e-01, 1.8482219e-02, 5.8169078e-02,-1.1233948e-02, 1.2557185e-02, 3.2520369e-02,-4.2609408e-02, 2.4707530e-02, 1.5835876e-02,-3.0930832e-02, 1.1553810e-02, 7.2826557e-03,-5.2549201e-03,-6.5705637e-03, 9.2528826e-03, 1.5155019e-02, 1.4894007e-03,-3.6143314e-03, 2.4069133e-03, 1.5967273e-03, 5.2945246e-03,-4.9274289e-03,-8.6110169e-03, 2.3371642e-03, 8.2308406e-07, 2.1802077e-06,-1.9961267e-03, 2.0731213e-03,-6.2000466e-04,-4.2651161e-03,-7.2767970e-04,-1.8564750e-04, 6.0639065e-04, 4.8216264e-04, 6.2263908e-04, 5.6824280e-04"
Accomack Virginia,"-8.3167158e-02,-4.6972238e-02, 5.5298183e-02, 9.7003216e-03, 7.5242184e-02, 7.5326905e-02, 1.5244173e-01, 4.7150597e-02,-6.7696065e-02, 3.2555573e-03, 2.2893786e-02,-5.1642682e-02,-1.4498620e-02,-9.9646421e-03, 3.6607962e-03,-8.9238519e-03, 5.3421282e-03, 2.3605220e-03,-7.7472273e-03,-1.3873121e-03, 3.3869692e-03, 3.6532194e-03, 4.1977274e-03,-5.8672121e-03, 1.3705697e-04,-1.9075605e-03,-1.0322809e-03,-3.6909806e-03, 6.2815715e-03, 1.0915142e-03,-6.0985759e-03, 2.4965461e-03, 2.2554777e-03, 7.6909824e-03, 3.5162696e-03, 2.1785141e-03, 1.4561093e-03,-2.3718879e-03, 6.6841752e-03,-1.2977329e-03,-1.9880005e-03,-2.5983681e-03, 8.3602872e-04, 6.5518352e-03,-1.6927399e-03,-7.9280540e-04, 1.3234232e-03, 1.1529438e-03, 7.1139832e-04, 1.3342288e-03"
Ada Idaho,"-4.5315869e-02,-6.8245232e-02, 1.9923806e-02,-5.6835912e-02,-1.8391587e-02,-2.6273500e-02,-6.5117828e-03, 2.1108991e-04,-8.6994399e-04, 2.8188166e-03,-9.4213253e-03,-5.8401474e-03, 9.0926588e-03, 7.3083537e-04,-5.9449547e-03,-2.5684095e-03,-8.0455206e-03,-2.5994286e-03, 4.7470396e-03, 2.3571621e-03, 5.0011319e-03,-9.1384668e-03, 8.7053915e-03,-1.1645438e-03,-5.1456173e-03,-1.5381773e-03,-3.8932816e-03,-3.4467778e-03,-2.6387339e-03, 6.8675843e-04, 1.1541460e-03, 5.5196183e-04, 5.1665301e-03, 4.5664310e-03, 7.4802069e-03, 6.8385811e-03,-2.8566008e-03,-2.3135233e-03, 6.9554668e-04,-3.2772333e-03,-4.3640073e-04,-3.7031178e-03, 1.2503738e-04,-2.1785549e-03, 5.4394780e-04, 1.2037621e-03,-1.8044934e-04,-2.2011256e-05, 5.0558418e-04,-4.3019131e-04"
Adair Iowa," 2.8655929e-02,-3.2234684e-02, 2.4945170e-02,-4.2864617e-02, 3.4662850e-02,-3.2595966e-02,-4.1825589e-02,-3.8099334e-02, 4.6606954e-02,-4.8942421e-02, 1.6094288e-03,-3.9327212e-02,-1.2380941e-03,-3.8602378e-03, 6.9248984e-03,-1.7673675e-02,-4.6464959e-03,-3.2623606e-03,-4.3386761e-03,-1.0622195e-03,-4.8230225e-03, 9.7908464e-04, 2.6104425e-03,-2.2408385e-03,-5.1185605e-05,-2.0400041e-03,-2.5488718e-03,-1.6331119e-03,-2.1004146e-03, 5.4884219e-04, 7.6877623e-04, 6.4457121e-04, 3.1802556e-04, 1.8926068e-05,-4.7376199e-04, 7.8335794e-04,-6.4018204e-05, 1.9942850e-04, 1.0299461e-04, 9.1484812e-04,-1.1878911e-04,-2.2286806e-05,-1.5487430e-04,-2.2521909e-04, 8.5995573e-04, 2.2339210e-04,-3.1186082e-05,-6.8929745e-05,-6.6871289e-05,-1.6130316e-04"
Adair Kentucky,"-4.63339640e-03,-4.50881384e-02,-3.13663520e-02, 1.69350561e-02,-2.25750403e-03,-6.61102403e-03,-7.95861799e-03,-2.49551665e-02, 1.03071854e-02,-2.21716799e-02,-1.15448022e-02,-4.70362511e-03,-1.96277220e-02, 1.90277658e-02, 7.42602255e-03, 2.93370597e-02,-2.65960442e-03,-4.60995641e-03, 6.40532421e-03, 1.36881005e-02, 8.47886899e-04,-5.90700051e-03,-8.15702043e-03, 6.94860658e-03, 8.14738683e-03,-7.87292700e-03, 1.31518180e-02,-1.21458899e-04, 9.68328770e-03,-5.31937368e-03, 4.58593061e-03,-3.59134679e-03, 2.27869977e-03, 1.67706807e-03,-6.04953966e-04, 6.05231500e-04,-1.19636208e-03, 4.19818796e-04,-7.39790412e-05,-1.20747543e-04,-1.06291473e-03, 1.40961830e-03, 5.78606341e-05, 1.04994193e-04,-7.20705721e-05,-4.26214450e-04,-2.03862481e-04,-1.13000438e-04,-2.34391031e-04, 2.35445608e-04"
Adair Missouri," 3.3838358e-02,-1.6640391e-02,-6.0789250e-02, 3.1469215e-02,-2.1607021e-02,-3.3017140e-02,-1.6471963e-02, 1.2257267e-02, 6.2443386e-03, 1.7349551e-02, 2.3932951e-02,-5.0154380e-03,-2.4226271e-03,-9.9101271e-03, 9.2781568e-03,-3.0364727e-03,-6.7400113e-03, 3.1659841e-03, 4.3879841e-03,-1.9433522e-03,-7.7153645e-03, 2.0134083e-03, 6.2213102e-03,-6.8594976e-03, 5.8660032e-03, 1.6657840e-03, 4.4386140e-03, 2.5961795e-03,-8.2347104e-03, 1.1120588e-03,-1.0526031e-03, 8.3114556e-04,-1.5684954e-03, 7.5033447e-04,-3.0250344e-03, 1.6685760e-03, 1.3077691e-03,-4.2401611e-05,-1.0716871e-04,-1.5900024e-03,-2.8600701e-04,-8.4493443e-04, 4.6354914e-04,-5.2446569e-05, 4.6396512e-04, 6.7747786e-04,-4.5903921e-06,-4.9096986e-04,-1.5340147e-04,-2.1512796e-04"
Adair Oklahoma," 1.44455712e-02, 5.40159084e-02, 4.75182645e-02, 2.22723316e-02,-3.93561739e-03,-2.12684870e-02,-3.10341064e-02, 3.07370462e-02,-2.51565669e-02,-2.94950642e-02,-2.05801986e-02,-5.16213197e-03, 1.55877406e-02,-6.35287212e-03,-6.53504441e-03, 1.04928035e-02,-1.42538957e-02,-2.61951308e-03,-7.32754404e-03, 2.62921993e-02, 1.60325356e-02,-1.19612245e-02, 1.90805737e-02, 1.12917461e-02, 2.13308167e-03, 2.00293190e-03,-8.68299045e-03,-4.10720520e-03,-1.09313289e-03, 1.12213413e-04, 2.36200169e-03, 3.40110972e-04,-7.05337012e-03, 1.19246566e-03,-2.82909547e-04,-1.18597155e-03,-2.13418901e-03,-2.26047239e-04,-9.87534950e-05,-5.33260245e-05, 4.86215926e-04,-4.08451073e-04, 4.30923428e-05,-6.54497591e-04, 5.63022913e-04,-3.26223053e-05,-4.99208516e-04, 7.06175459e-04, 7.89907135e-05, 6.38077108e-05"
Adams Colorado," 5.2564520e-02,-8.1579819e-02,-3.8673151e-02, 9.3345016e-02, 3.7339069e-02,-2.5947208e-02,-2.1588456e-02,-2.3400232e-02,-1.5645143e-02,-4.9508899e-03, 1.2679879e-02,-7.2100520e-05, 5.8673332e-03,-5.1354938e-03,-5.4646032e-03,-1.4071274e-02,-1.1197701e-03, 6.1795362e-03, 1.9418897e-02,-8.8121444e-03,-1.7469694e-03,-8.9695826e-03, 1.3791636e-03,-8.8745141e-03,-5.9986622e-03, 9.5219202e-03,-2.4888129e-03,-3.3118303e-03, 2.8712344e-03, 1.4238305e-03, 2.8654139e-03, 2.1706910e-04, 2.8454703e-03, 5.2885665e-03,-5.2229618e-03,-4.2347904e-04, 2.8017838e-03,-3.1723159e-03, 7.3351474e-03, 3.6178285e-03,-5.4754381e-04,-1.6296220e-03, 1.8895851e-03, 5.0422270e-03, 1.0002743e-03, 1.0503962e-03,-2.2588161e-04, 1.9181350e-03, 3.5546212e-03, 2.6604924e-03"
Adams Idaho," 1.8796858e-01,-7.6555726e-03, 3.6992632e-02,-6.8441272e-02, 1.8168686e-02,-3.3388764e-02, 1.7981950e-02,-2.2332432e-02, 1.1781385e-02,-5.4793512e-03,-2.4172658e-02, 4.8011597e-02,-7.7345958e-03,-2.0124044e-02, 1.9056248e-02, 2.8257449e-03,-6.6141342e-03,-3.0377607e-03,-6.3509052e-03, 5.8489763e-03,-1.9107949e-03, 5.5718813e-03,-6.7925634e-05, 5.3186924e-03,-7.1961796e-03,-6.1061098e-03, 1.2928315e-03,-2.1122869e-03, 3.6155949e-03,-9.4377277e-03,-5.4918467e-03, 2.6683582e-03, 1.0570767e-03, 9.6087118e-05, 6.7968662e-03,-4.2271554e-03,-7.2151781e-03,-1.0228987e-02, 1.2541769e-02,-4.7930405e-03,-8.5599255e-04, 5.8410335e-03, 5.0296658e-03,-8.5913679e-03, 1.8493622e-03, 3.1026355e-03, 8.1545813e-03,-8.0973376e-03,-7.7805707e-05, 5.2141533e-03"
