Name
Kluck's Drive-In
In The Spot Light
Bills Drive-In
Chick-Inn Drive-in
Karl's Cabin Restaurant & Banquets in Plymouth
SUBWAY Ypsilanti Washtenaw
SUBWAY Ypsilanti Washtenaw
Toarminas
Dom Bakeries
China Chef
Nirmal Indian Cuisine
Ypbor Yan Sichuan Restaurant
Cajun Seafood
The Golden Egg
Wendy's
Putterz
Domino's
Dairy Queen
Broadway
Lucky 7 Chinese Food
Lan City Hand Pulled Noodles
China Palace Restaurant
Pho House
Brookie's Cafe
Happy's Pizza
Crazy Crab Ypsilanti
Wing Fellas Ypsilanti
Arby's
Cottage Inn Pizza
Pita Pita Mediterranean Grill
Taqueria La Torre
Ahmo's Gyros & Deli
Mr. Pizza
Cuppy's Best Soul Food
Asia City Restaurant
Biggby Coffee
Albasha Grill
Miny's Mexican Restaurant
Little Caesars
Taco Bell
Curry Fresh
Casablanca
Shish Palace Ypsilanti
Hungry Howies
Radical Plants
Antonio's Coney Island
University of Michigan
Washtenaw Dairy
Michigan Creamery
Michigan Restaurant Association
Eastern Michigan University
Eastern Michigan University
The Polo Fields-Washtenaw
Michigan League University of Michigan
SUBWAY University of Michigan
SUBWAY Ypsilanti Washtenaw
SUBWAY Ypsilanti Washtenaw
SUBWAY Ann Arbor Washtenaw
SUBWAY Ann Arbor Washtenaw
SUBWAY Ann Arbor Washtenaw
SUBWAY Ann Arbor Washtenaw
SUBWAY Ann Arbor Washtenaw
Burger King Saline
Cuppy's Best Soulful Bistro
SUBWAY Village Mall
Smokehouse 52 BBQ
Kfc Ann Arbor
Athenas
Full House Restaurant
Mama Pizza
"Culver's of Chelsea, Mi-S Main Street"
CrossRoads Bar and Grill
C L's Carry Out
Domino's
Burger King Ann Arbor
Bon Appetit Cuisine
McDonald's
Taco Bell
Shawarma Grill Company
Brahma Haus
Mr. Pizza
Los Tres Amigos Chelsea
Jimmy John's
Tuptim Thai Cuisine
China Garden
Chick-fil-A
Don Guichos Kitchen
The Grateful Crow
Little Caesars
Red Rock Downtown BBQ
Cottage Inn Pizza
Got Burger
Haifa Falafel
Pea Pod Inn
McDonald's
Zou Zou's Cafe & Coffee Bar
Hk China One
Yee Siang Dumplings
Sweetwaters Coffee & Tea
Jet's Pizza
