Name
SONIC Drive-In
SUBWAY Lexington Holmes
SUBWAY Durant Holmes
Pizza Time
Gladys'
Baskin-Robbins
Church's Chicken
Sno Biz of Lexington
Di's Diner
Southern Barrel
Meek's Bar & Grill
Pizza Inn
Hot Stuff Pizza
Step's Burgers & More
Hunt Brothers Pizza
K & M Wings
Harveststeak and Seafood Restaurant
R-N-R S
Aikens Place
The Taste
Charlie Mae's
Bric's Hickory
Big Daddy's Soul Food
Rockco James Broiler Farms
Glady's Restaurant
Red Top BBQ
Porter Grille
Kaffay Mileoway
