Name
Metigoshe Drive-In
Herbel's Dario Drive-in Restaurant
SUBWAY Bottineau Bottineau
Dairy Queen
Hot Stuff Pizza
Creekside Wings & Burger
Champs Chicken
Pizza Inn
Shenanigans Bar
Boondocks American Dining
Sher's Cafe
Marie's
Boathouse Cafe
Take & Baked at The Lake
Dockside Grill & BBQ
A Frame Restaurant
China Inn
Birchwood Steakhouse & Lounge
Norway House
Pride Dairy
Creekside Wings & Burger
Shooters
Penelopes
Dale's Truck Stop & Cafe
Shawnas Place
Newburg Cafe
Horses Harleys
Hayley's Diner
Lansford Cafe
I Have No Idea Bar & Grill
Backwoods
Smokin Gun
