Name
Happy's Drive-In
SUBWAY Morris Stevens
American Association of University Women-Mpls Branch
Gale Mansion
Taco John's
Grand Buffet
Casey's
Stone's Throw Cafe
Mi Mexico
Common Cup Coffeehouse
Jose's Burritos
Dairy Queen
China Panda
Buddies Bar & Grill
Hattie Shack's Bar & Grill
Detoys Family Restaurant
McDonald's
Common Cup Coffehouse
Prime Steakhouse
Two Sisters Franklin Terrace Cafe
Pizza Ranch
Pizza Hut
Prairie Restaurant
Akwaaba Restaurant
Diamond Supper Club
The Fireside
West River Diary
Flavor Bee's
Tibet Kitchen Bar & Restaurant
Moonlight Cafe
Buddies Bar & Grill
Ranch House
Olive Kitchen
Don's Cafe
Cala Fry & Grill
Cajun Boiling
Quan's Cafe
Met Lounge
