Name
Amelia's Pizzeria & Restaurant
James Grey-Mexican House
McDonald's
Boddie Noell Enterprises
Papa John's
Mario's Italian & Country
Franklin's Franks
Mi Jalisco
Buster's Steakhouse
Black Forest Haus
Angelo's Sub Cafe
Sisters Soul Food
Daybreak Cafe
Sweet & Nut Shoppe
360 Diner
Chinese Restaurant
Original Lefty's Pizza
Pizza Hut
SUBWAY Uppy's C-Store
Town Seafood
Chicken Beef & More
