ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
215,"Japan",2021,"2021",2,"Foreign born","JPN",3573,1467.1621983896177,"Tennessee","04000US47"
216,"Jordan",2021,"2021",2,"Foreign born","JOR",1448,934.1426395998898,"Tennessee","04000US47"
217,"Korea",2021,"2021",2,"Foreign born",,8126,2211.8505278757075,"Tennessee","04000US47"
218,"Kazakhstan",2021,"2021",2,"Foreign born","KAZ",145,295.633857044988,"Tennessee","04000US47"
219,"Kyrgyzstan",2021,"2021",2,"Foreign born","KGZ",10,77.63801839410714,"Tennessee","04000US47"
222,"Kuwait",2021,"2021",2,"Foreign born","KWT",424,505.526893081192,"Tennessee","04000US47"
223,"Laos",2021,"2021",2,"Foreign born","LAO",3665,1485.9209172050973,"Tennessee","04000US47"
224,"Lebanon",2021,"2021",2,"Foreign born","LBN",881,728.6765974639081,"Tennessee","04000US47"
226,"Malaysia",2021,"2021",2,"Foreign born","MYS",1255,869.674806199392,"Tennessee","04000US47"
228,"Mongolia",2021,"2021",2,"Foreign born","MNG",20,109.79665853592661,"Tennessee","04000US47"
229,"Nepal",2021,"2021",2,"Foreign born","NPL",2297,1176.4745295546766,"Tennessee","04000US47"
231,"Pakistan",2021,"2021",2,"Foreign born","PAK",2122,1130.785583710706,"Tennessee","04000US47"
233,"Philippines",2021,"2021",2,"Foreign born","PHL",11054,2579.1955822049695,"Tennessee","04000US47"
235,"Saudi Arabia",2021,"2021",2,"Foreign born","SAU",876,726.6061658940976,"Tennessee","04000US47"
236,"Singapore",2021,"2021",2,"Foreign born","SGP",96,240.55109386383617,"Tennessee","04000US47"
238,"Sri Lanka",2021,"2021",2,"Foreign born","LKA",483,539.5516604712726,"Tennessee","04000US47"
239,"Syria",2021,"2021",2,"Foreign born","SYR",353,461.2654609407478,"Tennessee","04000US47"
240,"Taiwan",2021,"2021",2,"Foreign born","TWN",1491,947.9084079714265,"Tennessee","04000US47"
242,"Thailand",2021,"2021",2,"Foreign born","THA",2647,1262.896962022772,"Tennessee","04000US47"
243,"Turkey",2021,"2021",2,"Foreign born","TUR",853,717.0051409816325,"Tennessee","04000US47"
245,"United Arab Emirates",2021,"2021",2,"Foreign born","ARE",139,289.4528022925442,"Tennessee","04000US47"
246,"Uzbekistan",2021,"2021",2,"Foreign born","UZB",773,682.5587427182575,"Tennessee","04000US47"
247,"Vietnam",2021,"2021",2,"Foreign born","VNM",8897,2314.2737204672367,"Tennessee","04000US47"
248,"Yemen",2021,"2021",2,"Foreign born","YEM",836,709.8252285832111,"Tennessee","04000US47"
249,"Asia",2021,"2021",2,"Foreign born",,978,767.738330274008,"Tennessee","04000US47"
254,"Other Asia, not specified",2021,"2021",2,"Foreign born",,202,348.934610353864,"Tennessee","04000US47"
300,"Bermuda",2021,"2021",2,"Foreign born","BMU",60,190.1728366010609,"Tennessee","04000US47"
301,"Canada",2021,"2021",2,"Foreign born","CAN",9443,2384.133750560514,"Tennessee","04000US47"
