county,state,pop,white,black,asian,indigenous,pacific,hispanic,two_pop
Abbeville,South Carolina,24527,0.7022057324581074,0.27626697109308107,0.0036286541362580012,0.0034655685571003386,0.00020385697394707873,0.01639010070534513,0.014229216781506095
Acadia Parish,Louisiana,62045,0.7967604158272221,0.1795954549117576,0.003384640180514143,0.004077685550809896,0.00027399468127971635,0.027915222822145216,0.01590780884841647
Accomack,Virginia,32316,0.6776519371209309,0.287906919173165,0.007952716920410942,0.007395717291744028,0.0016709988860007428,0.09144077237281842,0.017421710607748483
Ada,Idaho,481587,0.9189409182556838,0.013777365252799599,0.02726610145207408,0.008199972175328652,0.002221820771740101,0.08522862951034808,0.029593822092373757
Adair,Kentucky,19202,0.948338714717217,0.02885116133736069,0.004062076866993021,0.0030205186959691697,0.0005207790855119259,0.021612332048744923,0.015206749296948235
Adair,Missouri,25343,0.9153612437359429,0.03377658525036499,0.026200528745610227,0.003945862762893107,0.0006707966696918281,0.025766483841691987,0.02004498283549698
Adair,Oklahoma,22194,0.42065423087320897,0.005857438947463278,0.008470757862485356,0.4611606740560512,0.0008110300081103001,0.07087501126430566,0.1030458682526809
Adams,Indiana,35777,0.9781423819772479,0.005534281801157168,0.0038292757917097577,0.0032702574279565083,0.00041926377281493695,0.04536434021857618,0.008804539229113676
Adams,Washington,19983,0.8848521243056598,0.021868588300055048,0.01351148476204774,0.061752489616173745,0.0013511484762047741,0.6473502477105539,0.01666416453985888
Adams,Illinois,65435,0.9276075494765799,0.039076946588217316,0.009398639871628334,0.002903644838389241,0.0002750821425842439,0.017742798196683732,0.020738137082601055
Adams,Ohio,27698,0.9706477001949599,0.004910101812405228,0.0036464726695068237,0.005776590367535562,0.00021662213878258357,0.010397862661564013,0.014802512816809879
Adams,Mississippi,30693,0.444107777017561,0.5344215293389372,0.005799367934056625,0.005375818590558108,0.0002606457498452416,0.10096764734630045,0.010034861369041801
Adams,Pennsylvania,103009,0.9511013600753332,0.020240949819918648,0.008552650739255794,0.004193808308011921,0.0004756865904920929,0.07291595879971653,0.015435544466988322
Adams,Nebraska,31363,0.9470395051493798,0.013008959602078882,0.01294519019226477,0.013104613716800051,0.0010521952619328508,0.1100022319293435,0.012849536077543602
Adams,Colorado,517421,0.8571897932244729,0.04028441056702376,0.044909271173763726,0.02336008782016965,0.0021897062546746265,0.40806036090533626,0.032066730959895325
Adams,Wisconsin,20220,0.9379327398615233,0.02942631058358061,0.006280909990108803,0.012166172106824925,0.0003956478733926805,0.04179030662710188,0.013798219584569733
Addison,Vermont,36777,0.9446393126138619,0.013323544606683524,0.018435435190472305,0.003018190717024227,0.0003262908883269435,0.02286755309024662,0.020257225983631073
Aiken,South Carolina,170872,0.7065815347160448,0.2527798586076127,0.012418652558640386,0.005647502223886886,0.0006788707336485791,0.05903249215787256,0.021893581160166674
Aitkin,Minnesota,15886,0.9476897897519829,0.0057283142389525366,0.0029585798816568047,0.026879012967392674,0.00031474254060178774,0.014226362835200805,0.01642956061941332
Alachua,Florida,269043,0.6986169497069241,0.20630531179030862,0.06151804730098906,0.003746612994948763,0.0007396587162646864,0.104897730102623,0.029073419490564707
Alamance,North Carolina,169509,0.7356305564896259,0.20865558760891753,0.017450400863670956,0.014547900111498504,0.0008495124152699857,0.1305535399300332,0.022866042511017114
Alameda,California,1671329,0.492777304767643,0.1103122126164268,0.32333011633257125,0.010648412131902216,0.009430219902843784,0.2232085962727865,0.05350173424861293
Alamosa,Colorado,16233,0.8753157149017433,0.018357666481857944,0.016632785067455184,0.0545801761843159,0.0029569395675475884,0.47588246165219,0.03215671779708002
Albany,Wyoming,38880,0.9025462962962963,0.019521604938271604,0.038991769547325104,0.011368312757201645,0.0011574074074074073,0.09663065843621399,0.02641460905349794
Albany,New York,305506,0.7578836422197928,0.14106433261539872,0.06836199616374146,0.0030441300661852794,0.0006611981434079855,0.0625257769078185,0.028984700791473816
Albemarle,Virginia,109330,0.8175980975029726,0.09695417543217781,0.05534619957925546,0.0035031555840117075,0.000914662032379036,0.05774261410408854,0.02568370986920333
Alcona,Michigan,10405,0.9681883709754926,0.005478135511773186,0.004036520903411821,0.007208073041806823,0.0006727534839019703,0.01604997597308986,0.014416146083613647
Alcorn,Mississippi,36953,0.854923822152464,0.1239412226341569,0.003923903336670907,0.004140394555245853,0.00035179823018428814,0.032176007360701434,0.01271885909127811
