city,state,pop,white,black,asian,indigenous,pacific,hispanic,two_pop
Aiken,South Carolina,170872,0.7065815347160448,0.2527798586076127,0.012418652558640386,0.005647502223886886,0.0006788707336485791,0.05903249215787256,0.021893581160166674
Alachua,Florida,269043,0.6986169497069241,0.20630531179030862,0.06151804730098906,0.003746612994948763,0.0007396587162646864,0.104897730102623,0.029073419490564707
Alamance,North Carolina,169509,0.7356305564896259,0.20865558760891753,0.017450400863670956,0.014547900111498504,0.0008495124152699857,0.1305535399300332,0.022866042511017114
Alameda,California,1671329,0.492777304767643,0.1103122126164268,0.32333011633257125,0.010648412131902216,0.009430219902843784,0.2232085962727865,0.05350173424861293
Albany,New York,305506,0.7578836422197928,0.14106433261539872,0.06836199616374146,0.0030441300661852794,0.0006611981434079855,0.0625257769078185,0.028984700791473816
Allegan,Michigan,118081,0.9487301089929794,0.015531711282932901,0.008519575545600054,0.007477917700561479,0.00038109433355069825,0.07519414639103666,0.019359592144375472
Anderson,South Carolina,202558,0.8053792000315959,0.16271882621273906,0.010421706375457893,0.0034014948804786775,0.00046900147118356225,0.03988980933855982,0.01760977102854491
Anoka,Minnesota,356921,0.8376615553581885,0.07378663625844374,0.04975610849459684,0.008906732862454157,0.000619184637496813,0.04866623146298481,0.029269782388819936
Arapahoe,Colorado,656590,0.7646704945247415,0.11487686379628079,0.06555993846997366,0.011613030963005833,0.003035379765150246,0.19750681551653237,0.040244292480848015
Arlington,Virginia,236842,0.7500316666807407,0.09678182079192035,0.10954560424249077,0.006455780647013621,0.0013131116947163088,0.1560154026735123,0.035872015943118195
Baltimore,Maryland,827370,0.601883075286752,0.3032609352526681,0.06317125348997425,0.004493757327435126,0.0007662835249042146,0.058104596492500334,0.026424695118266315
Barnstable,Massachusetts,212990,0.9218226207803183,0.03457908822010423,0.015906850086858538,0.007483919432837222,0.0006291375181933424,0.03396873092633457,0.01957838396168834
Bartow,Georgia,107738,0.8486420761476916,0.113460431788227,0.010349180419165011,0.005801110100428818,0.0010766860346395886,0.09158328537748983,0.020670515509847963
Beaufort,South Carolina,192122,0.7818937966500453,0.17851157077273816,0.01453243251683826,0.004210866012221401,0.0014105620387045732,0.11096594872008411,0.019440772009452326
Beaver,Pennsylvania,163929,0.9048490505035717,0.06452793587467745,0.005911095657266255,0.0017995595654216154,0.00042091393225115754,0.01784309060629907,0.022491444466811852
Benton,Arkansas,279141,0.8848037371794183,0.020609656051959403,0.04165636721226907,0.018689479510354982,0.007279475247276466,0.1706306132026467,0.026961284798721792
Berkshire,Massachusetts,124944,0.9183874375720322,0.03620822128313485,0.016663465232424127,0.0032654629273914716,0.0005122294788065053,0.05139902676399027,0.02496318350621078
Bernalillo,New Mexico,679121,0.8391626823496844,0.03553564092407686,0.029059622659290466,0.06343346767365463,0.0014459867976398904,0.5030429039891271,0.031362599595653795
Boulder,Colorado,326196,0.9003421255932016,0.012093955781186772,0.050156960845626555,0.00860832137733142,0.0007449508884229114,0.13972887466431225,0.02805368551423071
Brazoria,Texas,374264,0.7490167368488554,0.1512622106320672,0.06946700724622192,0.008435222196096872,0.0009699035974606161,0.3156889254643781,0.020848919479298036
Bronx,New York,1418207,0.447240776558006,0.43615353753013486,0.04561111318728507,0.029134674980450668,0.004213066216708844,0.563796399256244,0.03764683152741455
Brunswick,North Carolina,142820,0.865256966811371,0.1001820473323064,0.007491947906455678,0.008367175465621062,0.0011132894552583672,0.04930681977314102,0.017588573028987538
Burlington,New Jersey,445349,0.7286105952859443,0.18303622552200632,0.05415528046543273,0.0034130535826958183,0.0008802085555373426,0.08533981214732715,0.029904636588383493
Butler,Pennsylvania,187853,0.9582599159981475,0.01361703033755117,0.014612489553001548,0.0015863467711455233,0.0003619851692546832,0.016103016720520832,0.011562232170899587
Butler,Ohio,383134,0.8399437272599143,0.09210354601784232,0.03876450536887877,0.002745775629414252,0.0012867560696779717,0.04988594068915836,0.025155689654272395
Camden,New Jersey,506471,0.6901421799076354,0.21628484158026817,0.060005409983987235,0.00652357193205534,0.001115562391528834,0.17581658179836554,0.025928434204525036
Cameron,Texas,423163,0.9707275919681069,0.008200149824063068,0.007881123822262344,0.006805888038415457,0.0007443940042016906,0.9000337931246352,0.005640852342950589
Canadian,Oklahoma,148306,0.8308632152441574,0.03575715075586962,0.032507113670384204,0.051771337639744855,0.001072107669278384,0.09784499615659514,0.04802907502056559
Carver,Minnesota,105089,0.9215141451531559,0.022419092388356536,0.03350493391315932,0.0030831009905889295,0.00045675570230947104,0.04351549638877523,0.019021971852429844
Catawba,North Carolina,159551,0.8385406547122863,0.0893068673966318,0.04509529868192615,0.006060758002143515,0.0011595038577006725,0.1013782426935588,0.019836917349311506
Champaign,Illinois,209689,0.7179966521849024,0.13843835394322068,0.1091425873555599,0.0036530290096285453,0.001006252116229273,0.06255454506435722,0.029763125390459205
Charleston,South Carolina,411406,0.6964118170371847,0.262985955479502,0.018487819817892787,0.003947438783099906,0.000911508339693636,0.05291852816925373,0.017255460542626992
Chautauqua,New York,126903,0.9355097988227229,0.027934721795387026,0.006879269993617172,0.007289031780178561,0.0005122022332017368,0.0777286588969528,0.021874975374892636
Chester,Pennsylvania,524989,0.8526616748160437,0.06234416340151889,0.061307951214215915,0.0028495835150831733,0.0006266797971005107,0.07628159828110684,0.020209947256037745
Chesterfield,Virginia,352802,0.6818470416834371,0.24535291750046767,0.03673165118111575,0.005912664894189942,0.001295344130702207,0.09461964501335027,0.028860380610087246
Chittenden,Vermont,163774,0.9030065822413814,0.025498552883852138,0.045532257867549185,0.0023630124439776765,0.00043352424682794585,0.024600974513659068,0.02316607031641164
Clackamas,Oregon,418187,0.8887602914485625,0.011946808485199205,0.04859787606979653,0.010880299961500478,0.002893442407344083,0.09010084005480802,0.036921281627597224
Clayton,Georgia,292256,0.19111669221504435,0.7275094437753202,0.0502538870031753,0.005963949414212197,0.0011325687068871127,0.1341084528632432,0.02402345888536078
Cleveland,Oklahoma,284014,0.7833663129282359,0.05460646306168006,0.047476532846972334,0.05294809410803693,0.0012112078982022014,0.09242150034857437,0.060391389156872546
Cobb,Georgia,760141,0.6238947774162952,0.28807023960028466,0.055990927998884416,0.004980654904813712,0.0006735592475606499,0.13303058248403915,0.0263898408321614
Cochise,Arizona,125922,0.8772494083639079,0.0450755229427741,0.02258541001572402,0.01759819570845444,0.00412954050920411,0.35726878543860485,0.033361922459935515
Columbiana,Ohio,101883,0.9523276699743823,0.02490111205991186,0.003376421974225337,0.0024636102195655803,0.00038279202614763995,0.019012003965332782,0.016548393745767203
Comanche,Oklahoma,120749,0.6570075114493702,0.172514886251646,0.027842880686382496,0.06744569313203422,0.006890326213881689,0.1351398355265882,0.06829870226668544
Cumberland,North Carolina,335509,0.5108029888915051,0.39119367885809325,0.027134890569254475,0.018571781979022917,0.004286025114080398,0.120926711354986,0.04801063458804384
