nationality,total_population,total_population_MOE_Appx,percentage
Peru,7860,2175.9698609261445,0.054720682245770216
Uruguay,574,588.1945328250248,0.0039961414260905985
Venezuela,7983,2192.9189622902904,0.05557699826564677
South America,254,391.279698549144,0.0017683273906393938
"Americas, n.o.s",239,379.5505817572616,0.0016638986077276185
Algeria,2501,1227.6914859576,0.017411759070823322
Cameroon,1993,1095.9598705107155,0.013875104289544533
Cabo Verde,12,85.04821018344136,8.354302632942018e-05
Congo,1336,897.3365555856392,0.00930112359800878
Egypt,5682,1850.2445045490367,0.039557622966980455
Ethiopia,4278,1605.54575060416,0.029783088886438294
Eritrea,980,768.548357586784,0.006822680483569315
Gambia,153,303.6811832115351,0.0010651735857001073
Ghana,6270,1943.5795275246976,0.043651231257122045
Guinea,30,134.4729331595864,0.00020885756582355046
Ivory Coast,654,627.8451684757504,0.0045530949349534
Kenya,2078,1119.0830939390328,0.01446686739271126
Liberia,895,734.465022648379,0.006230917380402589
Libya,349,458.65017278877184,0.00242970968241397
Morocco,3722,1497.6140264666926,0.025912261999841826
Nigeria,20534,3515.3089483557787,0.1429560418873595
Rwanda,632,617.1952771229377,0.00439993272001613
Senegal,643,622.5430013492564,0.004476513827484764
Sierra Leone,175,324.78115295906827,0.0012183358006373777
Somalia,1166,838.30930329364,0.008117597391675327
South Africa,2719,1280.0687907179588,0.018929457382474455
Sudan,980,768.548357586784,0.006822680483569315
Tanzania,1196,849.0242451468561,0.008326454957498878
Togo,1988,1094.5844591356752,0.01384029469524061
Tunisia,588,595.324098816572,0.004093608290141588
Uganda,1045,793.6247536379035,0.00727520520952034
Democratic Republic of Congo (Zaire),4816,1703.47757110454,0.03352860123354063
Zambia,989,772.0690697632124,0.00688533775331638
Zimbabwe,384,481.0983499624364,0.0026733768425414458
Africa,6369,1958.855915198639,0.04434046122433976
"Eastern Africa, n.o.s",71,206.87248463359617,0.0004942962391157361
"Western Africa, n.o.s",975,766.5854173793954,0.006787870889265389
"Other Africa, n.o.s",599,600.8665463849305,0.004170189397610224
"Eastern Africa, n.o.s",867,722.88568315241,0.006035983652300608
Australia,2683,1271.568180173888,0.018678828303486196
Fiji,272,404.9063652666591,0.001893641930133524
Marshall Islands,71,206.87248463359617,0.0004942962391157361
Micronesia,105,251.57508605140495,0.0007310014803824265
New Zealand,787,688.7296754973509,0.005479030143437806
Tonga,130,279.9266411946567,0.0009050494519020519
Samoa,144,294.6141257281826,0.0010025163159530421
"Other U.S. Island Areas, Oceania, n.o.s",275,407.13313386968576,0.0019145276867158791
American Samoa,23,117.74386398356712,0.00016012413379805533
Albania,5910,1886.9811146322547,0.04114494046723944
Austria,2646,1262.7706799057246,0.01842123730563715
Belgium,960,760.6659586478356,0.006683442106353615
Bulgaria,13448,2845.5999393468032,0.09362388483983687
Czechoslovakia,728,662.4117329407237,0.005068276930651491
Denmark,804,696.1279207835381,0.005597382764071152
Finland,460,526.5575195905,0.0032024826759611065
France,5021,1739.3385052555625,0.03495579460000156
Germany,19176,3397.238706163176,0.13350175607441345
Greece,11735,2658.3724082286435,0.08169811783131214
Hungary,1898,1069.5237896458611,0.013213721997769958
Iceland,55,182.07703147645876,0.0003829055373431758
Ireland,7164,2077.4480717748456,0.049875186718663846
Italy,17066,3205.1547770170105,0.11881210727815705
Netherlands,2654,1264.677791672604,0.01847693265652343
Norway,700,649.5488598403002,0.004873343202549511
Poland,127303,8715.83975144172,0.8862731567345147
Portugal,292,419.5282379307674,0.0020328803073492246
Romania,15487,3053.4708847154147,0.10781923739697752
Spain,3388,1428.856440331884,0.02358698110033963
Sweden,1103,815.3492549610401,0.007678996503445871
Switzerland,744,669.6509991286745,0.005179667632424051
"United Kingdom, n.o.s",9189,2352.62068936338,0.06397307241175351
England,7913,2183.283704459523,0.055089663945391824
Scotland,1459,937.7293054656072,0.010157439617885337
Northern Ireland,348,457.9925757000898,0.002422747763553185
Yugoslavia,3870,1527.088283758512,0.026942625991238006
Czech Republic,2432,1210.6399746842633,0.016931386669429158
Slovakia,1238,863.8014709807259,0.008618855549651848
