cuisine,name
Japanese,Ga-on Sushi Kelowna
Japanese,Mini Ozeki
Japanese,Momo Sushi Mission
Japanese,Kasai Teppanyaki Steak & Sushi House
Japanese,Wasabi Ramen and Izakaya
Japanese,Taki Japanese Grill
Japanese,Momo Sushi Downtown
Japanese,Sushi Sai
Chinese,New Empress Chinese Cuisine
Chinese,Dragon King Restaurant
Chinese,Yum Yum Tree
Chinese,Xing Yun
Chinese,Mekong Restaurant
Chinese,The Orient Restaurant
Chinese,Asian Pear Buffet
Chinese,LVS Restaurant
Chinese,Wok Inn Restaurant
Chinese,HONG KONG GARDEN RESTAURANT
Chinese,Golden Island Asian Cuisine
Chinese,Wok Out Restaurant
Chinese,Imperial Banquet Restaurant
Chinese,Chan fortune restaurant
Chinese,J-Wok Express
Chinese,Wok Box - Kelowna
Chinese,Soy Asian Fusion Restaurant
Chinese,T-ONE Asian Fusion Restaurant
Chinese,Sizzling Wok
Chinese,鸡蛋仔 Bubble Waffle Cafe - Kelowna
Indian,TAAZ RESTAURANT
Indian,Chutney Cuisine of India
Indian,Dawett Fine Indian Cuisine
Indian,Shambhu's Spice House Cuisine of India | Indian Restaurant in Kelowna
Indian,USTAAD G76 KELOWNA
Indian,Hot Pot Grill Authentic Indian Cuisine
Indian,MADE IN INDIA RESTAURANT
Indian,Royal Punjab Indian Restaurant
Indian,Pakwaan Restaurant
Indian,MADE IN INDIA RESTAURANT
Indian,Chutneys Indian Grill
Indian,New Punjab Sweets & Restaurant
Indian,Tiffin India's Fresh Kitchen
Indian,Fusion Express
Indian,Dosa Crepe Cafe
Indian,Dosa Crepe Cafe
Indian,Apni Rasoi Taste of India
Indian,Samosa Place
Indian,Indian Kitchen & Pizza House
Indian,Originally Desi's
Canadian,The Canadian Brewhouse & Grill (Kelowna)
Canadian,Krafty Kitchen + Bar
Canadian,Bouchons Bistro
Canadian,OAK + CRU Social Kitchen & Wine Bar
Canadian,Moxies Kelowna Restaurant
Canadian,Montana’s BBQ & Bar
Canadian,Earls Kitchen + Bar
Canadian,Central Kitchen + Bar
Canadian,JOEY Kelowna
Canadian,Lakeside Dining Room
Canadian,Original Joe's
Canadian,Train Station Pub
Canadian,Erica Jane Restaurant
Canadian,Cactus Club Cafe Kelowna Yacht Club
Canadian,The Keg Steakhouse + Bar - Kelowna
Canadian,Kelly O'Bryan's Neighborhood Restaurant
Canadian,Denny's
Canadian,Salt & Brick
Canadian,Cactus Club Cafe Banks Road
Canadian,King Taps Kelowna Lakeside
Russian,Russian & Ukrainian Deli
Jewish,Salt & Brick
Jewish,Pearson's European Deli
Jewish,Little Hobo Soup & Sandwich Shop
Jewish,Okanagan Jewish Community
Jewish,Habibi Tapas Grill
Jewish,JOEY Kelowna
Jewish,The Fixx Cafe
Jewish,Sheida kitchen and bar
Jewish,Maestro's Mediterranean Restaurant and Terrace
Jewish,Broken Anchor Cafe and Catering
Jewish,Shady Rest Fish & Chips
Jewish,SubCity Donair KLO
Jewish,Mediterranean Market
Jewish,The Okanagan Chabad House
Jewish,Antico Pizza Napoletana
Jewish,South St. Burger
Jewish,Pho Soc Trang Vietnamese Cuisine
Jewish,Peter’s Your Independent Grocer Kelowna
Jewish,IMAGINE Organic Kitchen at Summerhill Pyramid Winery
Polish,Perogy Hut
Polish,Cecil's Perogies
Polish,Habibi Tapas Grill
Polish,Old Vines Restaurant @ Quails' Gate Winery
Polish,Bouchons Bistro
Polish,Salt & Brick
Polish,Maestro's Mediterranean Restaurant and Terrace
Polish,Polish Bistro
Polish,JOEY Kelowna
Polish,Pearson's European Deli
Polish,Little Hobo Soup & Sandwich Shop
Polish,Russian & Ukrainian Deli
Polish,Waterfront Wines Restaurant
Polish,Gulfstream
Polish,Famoso Italian Pizzeria - Sopa Square
Polish,Specialty Bakery & Bistro
German,Post Haus Pub
German,Gasthaus on the Lake
German,Train Station Pub
German,The Hatching Post Brewery & Smokery
German,Gulfstream
German,Salt & Brick
German,German Canadian Harmony Club
German,Gerni’s Farmhouse - Adult Only 16+
German,Pearson's European Deli
German,Kelly O'Bryan's Neighborhood Restaurant
German,Helmut's Sausage Kitchen
German,CRAFT Beer Market Kelowna
German,JOEY Kelowna
German,Georgia Cafe
German,Roma Nord Bistro
German,"Illichmann's Meats, Sausages & Gourmet Foods"
German,WINGS Kelowna
German,TAMM Mexican Restaurant
German,Fezziwig's Bakery-Cafe
German,Buffalo Rouge Brewing Co.
French,Bouchons Bistro
Hawaiian,Pacific Poke
Hawaiian,Humo Izakaya
Hawaiian,Dakoda's Sports Bar & Grill / Dakoda's Pub
Hawaiian,Panjabi Pizzeria
Hawaiian,Mad Mango Cafe
Hawaiian,O-Machi Taiwanese Appetizer Bento House
Hawaiian,Kaya Sushi + Grill
Hawaiian,West Coast Grill & Oyster Bar Kelowna
Hawaiian,Tokyo 1
Hawaiian,Edo Japan - Central Park - Grill and Sushi
Hawaiian,Mizu Japanese Restaurant sushi
Hawaiian,PNB - Pretty Not Bad
Hawaiian,La Vela Pizzeria
Hawaiian,JOEY Kelowna
Hawaiian,Earls Kitchen + Bar
Hawaiian,Habibi Tapas Grill
Hawaiian,Okanagan Street Food
Hawaiian,Pizza Hut
Hawaiian,Pizza Hut
Hawaiian,Panago Pizza
Brazilian,Café Brasil
Brazilian,Barcelos Flame Grilled Chicken- Kelowna
Peruvian,Salsa & Sabor
Peruvian,Mamma Rosa Restaurant
Peruvian,Skinny Duke's Glorious Emporium
Peruvian,Salt & Brick
Peruvian,JOEY Kelowna
Peruvian,Roma Nord Bistro
Peruvian,Little Hobo Soup & Sandwich Shop
Peruvian,WINGS Kelowna
Peruvian,Il Mercato Social Kitchen
