cuisine,name
Canadian,Top Of Vancouver Revolving Restaurant
Canadian,Forage
Russian,Mr. Pelmen
Jewish,Maple Grill
Jewish,Sabra Kosher Bakery & Restaurant Ltd
Jewish,Omnitsky Kosher
Jewish,Kosher Experience
Jewish,Kosher Food Warehouse
Jewish,Café FortyOne
Jewish,Nava Creative Kosher Cuisine
Jewish,Kosher Events
Jewish,VanKoshary Eats
Polish,Zofia Polish Store
Polish,Kozak Ukrainian Eatery & Mill
Polish,Kozak Ukrainian Restaurant
Polish,Ukrainian Village
Polish,Moltaqa Moroccan Restaurant Mainland Street Yaletown
Polish,Pierogi On A Day Pass
Polish,Polonia Sausage House Ltd
German,Jägerhof Restaurant
German,The Old Bavaria Haus Restaurant
German,Kaisereck Deli
German,Deutsches Haus (Vancouver Alpen Club)
German,MunChi German Foods
French,St. Lawrence Restaurant
French,Les Faux Bourgeois
French,Le Crocodile
French,Alouette Bistro
French,Au Petit Comptoir
French,Absinthe Bistro
French,Au Comptoir
French,French Table
French,Café Salade de Fruits
French,Is That French
French,Dahlia
French,Lavidas Restaurant
French,Tour De Feast
French,Provence Marinaside
French,Le Cáfe Miro 81 FD5 Filming Location
French,Chez Michel
French,Tableau Bar Bistro
French,PETRICHOR SOCIAL cuisine & bar
French,Carthage Cafe
French,Restaurant Vignette
Hawaiian,PokeLani
Hawaiian,Hula
Hawaiian,The hoke poke
Hawaiian,Steve's Poké Bar
Hawaiian,The Poke Guy
Hawaiian,Steve's Poké Bar
Hawaiian,Poke Bar (E.Broadway)
Hawaiian,Steve's Poké Bar
Hawaiian,Hanai Family Table
Hawaiian,Hanai Vancouver
Hawaiian,Steve’s Poké Bar
Hawaiian,Poke Bar (Lonsdale)
Hawaiian,Pokay Vancouver
Hawaiian,The Poke Guy
Hawaiian,Pokerrito
Hawaiian,Pokerrito
Hawaiian,Hula Poke Yaletown
Hawaiian,Westcoast Poké
Hawaiian,Pokey Okey Hornby
Hawaiian,"Poke N Chat (Ramen, Poke, Bubble Tea)"
Brazilian,Boteco Brasil Restaurant
Brazilian,Rio Brazilian Steakhouse
Brazilian,Brazilliant café & catering inc.
Brazilian,Brazil Gourmet
Brazilian,Rio Brazilian Steak House Coquitlam
Brazilian,Cafeoca Brazilian Bistro
Peruvian,SUYO Modern Peruvian
Peruvian,Silvestre Deli & Bistro
Peruvian,El Inka restaurant
Peruvian,Mangos Kitchen Bar
Peruvian,Cuchillo
Peruvian,Munchu Picchu (Food Truck & Catering services)
Salvadorian,Rinconcito Salvadoreno
Cuban,Havana Vancouver
Tibetan,Mount Everest Kitchen & Grill
Tibetan,Momo Hut
Tibetan,Gurkha Himalayan Kitchen Restaurant
Tibetan,Momo Factory
Tibetan,Royal Nepalese Momo Palace - #1 Place for Momos + Sugarcane Juice
Tibetan,East Is East
Tibetan,Himalaya Restaurant
Tibetan,Green Lettuce
Tibetan,Addah
Tibetan,East is East
Tibetan,Tamam: Fine Palestinian Cuisine
Tibetan,Bao Bei
Tibetan,Moltaqa Moroccan Restaurant Mainland Street Yaletown
Tibetan,Zuru Ling Tibetan Buddhist Society
Tibetan,Legendary Noodle
Egyptian,Paramount Fine Foods
Egyptian,AlHadbah Donair
Egyptian,Middle Eastern Restaurant
Egyptian,Manoush'eh
Egyptian,Zamzam Grill
Egyptian,Mazahr Lebanese Kitchen
Egyptian,Best Falafel Kitsilano
Egyptian,Donair King
Egyptian,Falafel King
Egyptian,Best Falafel Commercial Drive
Egyptian,Mr Greek Donair Town
Egyptian,Mr. Falafel
Egyptian,Anatolias Gate Turkish Cuisine
Egyptian,Tamam: Fine Palestinian Cuisine
Egyptian,Döner Kebab
Egyptian,"Mr. Shawarma Vancouver Shawarma and Cheesesteak, Burger, and Falafel"
Egyptian,Moltaqa Moroccan Restaurant Mainland Street Yaletown
Egyptian,Afghani Kabul Kebab Donair Ltd
Egyptian,Donair Land
Egyptian,Nuba in Gastown
Greek,Takis' Taverna Greek Restaurant
Greek,Stepho's Souvlaki Greek Taverna
Greek,Nammos Estiatorio
Greek,Maria's Taverna
Greek,The Greek Gastown
Greek,Apollonia Greek Restaurant
Greek,Nostos Taverna
Greek,Four Olives Restaurant - Best Greek restaurant in Vancouver
Greek,The Greek Yaletown
Greek,Hydra Estiatorio
Greek,Mr Greek Donair Town
Greek,The Greek - Broadway
Greek,Mnimes Restaurant & Bar
Greek,Minerva’s Restaurant
Greek,Simpatico Ristorante
Greek,Olympia Pizza & Pasta Restaurant(Denman st) Vancouver
Greek,Mr. Greek Donair Store
Greek,Anatoli Souvlaki
Greek,The Main
Greek,Skewers Souvlaki Pita Bar
Belgian,Belgian Fries
Belgian,Le Petit Belge
Belgian,Chambar Restaurant
Belgian,Nero Waffles
Belgian,Nero waffles
Irish,The Irish Heather Shebeen
Irish,The Blarney Stone
Irish,Smith's Irish Pub
Irish,Donnellan's Irish Pub
Irish,Carlos O'Bryan's Neighborhood Pub
Irish,Foy's Irish Bar & Grill
Irish,Hynes' Irish Pub
Irish,The Frying Irishman
Irish,Shamrock Bar & Grill
Irish,The Wolf & Hound
Irish,Dublin Calling
Irish,Johnnie Fox's Irish Pub
Irish,Dublin Crossing - Vancouver
Irish,Mahony's Tavern Convention Centre
Irish,Sip Restaurant And Irish Pub
Irish,The Morrissey
Irish,Shenanigans on Robson
Welsh,The Cheese Inn
Cajun,The Captain's Boil
Cajun,Chewies Smoke & Oyster Bar Kitsilano
Cajun,The Captain's Boil
Cajun,Coast
Cajun,Jackalopes Neighbourhood Dive
Cajun,Joe Fortes Seafood & Chop House
Cajun,Rodney's Oyster House
Cajun,The Vancouver Fish Company
Cajun,Cardero's Restaurant
Cajun,Tap & Barrel • Bridges
Cajun,The Charlatan
Cajun,Bird N' Hand
Cajun,PIER 7 Restaurant + Bar
Cajun,The Boathouse Restaurant
Cajun,The Captain's Boil
Cajun,Tap & Barrel • Convention Centre
Cajun,Chef Ron Restaurant & Bar
Cajun,chefhyve
Cajun,Calabash Bistro
Cajun,The Pawn Shop YVR Taco Bar
Portuguese,Portuguese Club Of Vancouver
Turkish,Anatolias Gate Turkish Cuisine
Turkish,Istanbul Döner Shop
Turkish,Tamam: Fine Palestinian Cuisine
Turkish,Turkish Donair
Turkish,Afghan Turkish Cuisine
Turkish,The Mangal
Turkish,Homa Mediterranean Restaurant (Baghdad Cafe)
Turkish,Döner Kebab
Turkish,Phoenix Rising Arcade
Turkish,Patso Turkish Street Food
Turkish,Saray Turkish Cuisine
Turkish,The Golden Horn Turkish Bakery & Cafe
Turkish,Rayhan
Turkish,Manoush'eh
Turkish,Anatolia's Gate Restaurant
Turkish,Mediterranean Specialty Foods - Turkish Market
Turkish,KALAMISH
Turkish,Mediterranean Grill Restaurant at Denman LTD..
Turkish,ZAATAR W ZEIT
Turkish,Donair Dude
Haitian,The Loft Lounge
Haitian,Calabash Bistro
Haitian,Baby Dhal Roti Shop
Haitian,The Lion's Den Cafe
Haitian,Riddim & Spice
Haitian,VanSuya Vancouver- Takeout/Online
Tahitian,The Shameful Tiki Room
Tahitian,Hanai Vancouver
Tahitian,Baby Dhal Roti Shop
Tahitian,The Poke Guy
Tahitian,Moltaqa Moroccan Restaurant Mainland Street Yaletown
Tahitian,BOTANIST
Tahitian,Hula
Tahitian,Ancora Waterfront Dining and Patio
Tahitian,The Poke Guy
Tahitian,The Lunch Lady
Tahitian,Pokerrito
Tahitian,The Tiki Bar
Tahitian,Cactus Club Cafe Coal Harbour
Tahitian,Joe Fortes Seafood & Chop House
Tahitian,Osteria Savio Volpe
Tahitian,Hanai Family Table
Tahitian,Black+Blue
Tahitian,The Flying Pig Yaletown
Tahitian,Pepino's Spaghetti House
Tahitian,The Mackenzie Room
Kenyan,Kilimanjaro Snack House & Catering
Kenyan,Simba's Grill
Kenyan,Gojo Café Ethiopia I Ethiopian Cuisine
Kenyan,Harambe Ethiopian Restaurant
Kenyan,Madani's Kitchen
Kenyan,Safari Snack House
Kenyan,Aboki Grill
Kenyan,Alebi African Cuisine
Kenyan,Taste of Africa
Kenyan,Axum Restaurant
Kenyan,Arike Restaurant
Kenyan,Fassil Restaurant
Kenyan,massawa restaurant
Kenyan,VanSuya Vancouver- Takeout/Online
Korean,Kook Korean BBQ Restaurant
Korean,Sura Korean Royal Cuisine Restaurant Vancouver
Korean,Chosun Korean BBQ
Korean,So Hyang Korean Cuisine
Korean,Kosoo Korean Restaurant Chicken & BBQ - 2nd Branch
Korean,Jang Mo Jib Korean Restaurant
Korean,Tå Bom Korean Cuisine
Korean,Zoomak Korean Tavern
Korean,Damso Modern Korean Restaurant
Korean,Dae Bak Bon Ga
Korean,Sooda Korean BBQ
Korean,Hongdae Pocha Korean BBQ
