Bezirk;Bez-Name;Ortsteil;Ortst-Name;Geschl;Staatsangeh;Altersgr;Häufigkeit
01;Mitte;0101;Mitte;1;A;00_05;618
01;Mitte;0101;Mitte;1;A;05_10;461
01;Mitte;0101;Mitte;1;A;10_15;351
01;Mitte;0101;Mitte;1;A;15_20;330
01;Mitte;0101;Mitte;1;A;20_25;1155
01;Mitte;0101;Mitte;1;A;25_30;2368
01;Mitte;0101;Mitte;1;A;30_35;3149
01;Mitte;0101;Mitte;1;A;35_40;2468
01;Mitte;0101;Mitte;1;A;40_45;1644
01;Mitte;0101;Mitte;1;A;45_50;1117
01;Mitte;0101;Mitte;1;A;50_55;901
01;Mitte;0101;Mitte;1;A;55_60;626
01;Mitte;0101;Mitte;1;A;60_65;415
01;Mitte;0101;Mitte;1;A;65_70;232
01;Mitte;0101;Mitte;1;A;70_75;176
01;Mitte;0101;Mitte;1;A;75_80;94
01;Mitte;0101;Mitte;1;A;80_85;32
01;Mitte;0101;Mitte;1;A;85_90;12
01;Mitte;0101;Mitte;1;A;90_95;19
01;Mitte;0101;Mitte;1;D;00_05;2084
01;Mitte;0101;Mitte;1;D;05_10;1642
01;Mitte;0101;Mitte;1;D;10_15;1504
01;Mitte;0101;Mitte;1;D;15_20;1141
01;Mitte;0101;Mitte;1;D;20_25;1475
01;Mitte;0101;Mitte;1;D;25_30;2231
01;Mitte;0101;Mitte;1;D;30_35;3603
01;Mitte;0101;Mitte;1;D;35_40;3280
01;Mitte;0101;Mitte;1;D;40_45;3039
01;Mitte;0101;Mitte;1;D;45_50;2854
01;Mitte;0101;Mitte;1;D;50_55;3144
01;Mitte;0101;Mitte;1;D;55_60;2729
01;Mitte;0101;Mitte;1;D;60_65;1898
01;Mitte;0101;Mitte;1;D;65_70;1415
01;Mitte;0101;Mitte;1;D;70_75;1042
01;Mitte;0101;Mitte;1;D;75_80;1085
01;Mitte;0101;Mitte;1;D;80_85;1007
01;Mitte;0101;Mitte;1;D;85_90;519
01;Mitte;0101;Mitte;1;D;90_95;178
01;Mitte;0101;Mitte;1;D;95 und älter;32
01;Mitte;0101;Mitte;2;A;00_05;565
01;Mitte;0101;Mitte;2;A;05_10;431
01;Mitte;0101;Mitte;2;A;10_15;313
01;Mitte;0101;Mitte;2;A;15_20;302
01;Mitte;0101;Mitte;2;A;20_25;1191
01;Mitte;0101;Mitte;2;A;25_30;2563
01;Mitte;0101;Mitte;2;A;30_35;3083
01;Mitte;0101;Mitte;2;A;35_40;2234
01;Mitte;0101;Mitte;2;A;40_45;1431
01;Mitte;0101;Mitte;2;A;45_50;964
01;Mitte;0101;Mitte;2;A;50_55;749
01;Mitte;0101;Mitte;2;A;55_60;446
01;Mitte;0101;Mitte;2;A;60_65;335
01;Mitte;0101;Mitte;2;A;65_70;226
01;Mitte;0101;Mitte;2;A;70_75;185
01;Mitte;0101;Mitte;2;A;75_80;78
01;Mitte;0101;Mitte;2;A;80_85;66
01;Mitte;0101;Mitte;2;A;85_90;15
01;Mitte;0101;Mitte;2;A;90_95;9
01;Mitte;0101;Mitte;2;A;95 und älter;3
01;Mitte;0101;Mitte;2;D;00_05;1958
01;Mitte;0101;Mitte;2;D;05_10;1634
01;Mitte;0101;Mitte;2;D;10_15;1449
01;Mitte;0101;Mitte;2;D;15_20;1181
01;Mitte;0101;Mitte;2;D;20_25;1633
01;Mitte;0101;Mitte;2;D;25_30;2466
01;Mitte;0101;Mitte;2;D;30_35;3319
01;Mitte;0101;Mitte;2;D;35_40;2923
01;Mitte;0101;Mitte;2;D;40_45;2621
01;Mitte;0101;Mitte;2;D;45_50;2278
01;Mitte;0101;Mitte;2;D;50_55;2536
01;Mitte;0101;Mitte;2;D;55_60;2321
01;Mitte;0101;Mitte;2;D;60_65;1740
01;Mitte;0101;Mitte;2;D;65_70;1536
01;Mitte;0101;Mitte;2;D;70_75;1202
01;Mitte;0101;Mitte;2;D;75_80;1553
01;Mitte;0101;Mitte;2;D;80_85;1602
01;Mitte;0101;Mitte;2;D;85_90;760
01;Mitte;0101;Mitte;2;D;90_95;281
01;Mitte;0101;Mitte;2;D;95 und älter;86
01;Mitte;0102;Moabit;1;A;00_05;448
01;Mitte;0102;Moabit;1;A;05_10;379
01;Mitte;0102;Moabit;1;A;10_15;315
01;Mitte;0102;Moabit;1;A;15_20;334
01;Mitte;0102;Moabit;1;A;20_25;1050
01;Mitte;0102;Moabit;1;A;25_30;2190
01;Mitte;0102;Moabit;1;A;30_35;2289
01;Mitte;0102;Moabit;1;A;35_40;1551
01;Mitte;0102;Moabit;1;A;40_45;1193
01;Mitte;0102;Moabit;1;A;45_50;1063
01;Mitte;0102;Moabit;1;A;50_55;886
01;Mitte;0102;Moabit;1;A;55_60;774
01;Mitte;0102;Moabit;1;A;60_65;497
01;Mitte;0102;Moabit;1;A;65_70;318
01;Mitte;0102;Moabit;1;A;70_75;299
01;Mitte;0102;Moabit;1;A;75_80;230
01;Mitte;0102;Moabit;1;A;80_85;137
01;Mitte;0102;Moabit;1;A;85_90;52
01;Mitte;0102;Moabit;1;A;90_95;9
01;Mitte;0102;Moabit;1;A;95 und älter;3
01;Mitte;0102;Moabit;1;D;00_05;1614
01;Mitte;0102;Moabit;1;D;05_10;1311
01;Mitte;0102;Moabit;1;D;10_15;1136
01;Mitte;0102;Moabit;1;D;15_20;1171
01;Mitte;0102;Moabit;1;D;20_25;1931
01;Mitte;0102;Moabit;1;D;25_30;2953
01;Mitte;0102;Moabit;1;D;30_35;3259
01;Mitte;0102;Moabit;1;D;35_40;2555
01;Mitte;0102;Moabit;1;D;40_45;1890
01;Mitte;0102;Moabit;1;D;45_50;1515
01;Mitte;0102;Moabit;1;D;50_55;1793
01;Mitte;0102;Moabit;1;D;55_60;2064
01;Mitte;0102;Moabit;1;D;60_65;1596
01;Mitte;0102;Moabit;1;D;65_70;1293
01;Mitte;0102;Moabit;1;D;70_75;923
01;Mitte;0102;Moabit;1;D;75_80;702
01;Mitte;0102;Moabit;1;D;80_85;475
01;Mitte;0102;Moabit;1;D;85_90;204
01;Mitte;0102;Moabit;1;D;90_95;55
01;Mitte;0102;Moabit;1;D;95 und älter;9
01;Mitte;0102;Moabit;2;A;00_05;318
01;Mitte;0102;Moabit;2;A;05_10;335
01;Mitte;0102;Moabit;2;A;10_15;314
01;Mitte;0102;Moabit;2;A;15_20;319
01;Mitte;0102;Moabit;2;A;20_25;928
01;Mitte;0102;Moabit;2;A;25_30;1866
01;Mitte;0102;Moabit;2;A;30_35;1827
01;Mitte;0102;Moabit;2;A;35_40;1262
01;Mitte;0102;Moabit;2;A;40_45;986
01;Mitte;0102;Moabit;2;A;45_50;864
01;Mitte;0102;Moabit;2;A;50_55;713
01;Mitte;0102;Moabit;2;A;55_60;582
01;Mitte;0102;Moabit;2;A;60_65;458
01;Mitte;0102;Moabit;2;A;65_70;419
01;Mitte;0102;Moabit;2;A;70_75;404
01;Mitte;0102;Moabit;2;A;75_80;241
01;Mitte;0102;Moabit;2;A;80_85;156
01;Mitte;0102;Moabit;2;A;85_90;42
01;Mitte;0102;Moabit;2;A;90_95;16
01;Mitte;0102;Moabit;2;A;95 und älter;7
01;Mitte;0102;Moabit;2;D;00_05;1533
01;Mitte;0102;Moabit;2;D;05_10;1235
01;Mitte;0102;Moabit;2;D;10_15;1167
01;Mitte;0102;Moabit;2;D;15_20;1111
01;Mitte;0102;Moabit;2;D;20_25;1979
01;Mitte;0102;Moabit;2;D;25_30;2845
01;Mitte;0102;Moabit;2;D;30_35;2883
01;Mitte;0102;Moabit;2;D;35_40;2086
01;Mitte;0102;Moabit;2;D;40_45;1549
01;Mitte;0102;Moabit;2;D;45_50;1189
01;Mitte;0102;Moabit;2;D;50_55;1580
01;Mitte;0102;Moabit;2;D;55_60;1730
01;Mitte;0102;Moabit;2;D;60_65;1409
01;Mitte;0102;Moabit;2;D;65_70;1208
01;Mitte;0102;Moabit;2;D;70_75;949
01;Mitte;0102;Moabit;2;D;75_80;751
01;Mitte;0102;Moabit;2;D;80_85;723
01;Mitte;0102;Moabit;2;D;85_90;352
01;Mitte;0102;Moabit;2;D;90_95;179
01;Mitte;0102;Moabit;2;D;95 und älter;40
01;Mitte;0103;Hansaviertel;1;A;00_05;3
01;Mitte;0103;Hansaviertel;1;A;05_10;19
01;Mitte;0103;Hansaviertel;1;A;10_15;18
01;Mitte;0103;Hansaviertel;1;A;15_20;25
01;Mitte;0103;Hansaviertel;1;A;20_25;178
01;Mitte;0103;Hansaviertel;1;A;25_30;323
01;Mitte;0103;Hansaviertel;1;A;30_35;164
01;Mitte;0103;Hansaviertel;1;A;35_40;89
01;Mitte;0103;Hansaviertel;1;A;40_45;57
01;Mitte;0103;Hansaviertel;1;A;45_50;46
01;Mitte;0103;Hansaviertel;1;A;50_55;38
01;Mitte;0103;Hansaviertel;1;A;55_60;43
01;Mitte;0103;Hansaviertel;1;A;60_65;23
01;Mitte;0103;Hansaviertel;1;A;65_70;19
01;Mitte;0103;Hansaviertel;1;A;70_75;30
01;Mitte;0103;Hansaviertel;1;A;75_80;6
01;Mitte;0103;Hansaviertel;1;A;80_85;9
01;Mitte;0103;Hansaviertel;1;D;00_05;80
01;Mitte;0103;Hansaviertel;1;D;05_10;58
01;Mitte;0103;Hansaviertel;1;D;10_15;57
01;Mitte;0103;Hansaviertel;1;D;15_20;71
01;Mitte;0103;Hansaviertel;1;D;20_25;117
01;Mitte;0103;Hansaviertel;1;D;25_30;133
01;Mitte;0103;Hansaviertel;1;D;30_35;159
01;Mitte;0103;Hansaviertel;1;D;35_40;111
01;Mitte;0103;Hansaviertel;1;D;40_45;98
01;Mitte;0103;Hansaviertel;1;D;45_50;120
01;Mitte;0103;Hansaviertel;1;D;50_55;144
01;Mitte;0103;Hansaviertel;1;D;55_60;189
01;Mitte;0103;Hansaviertel;1;D;60_65;123
01;Mitte;0103;Hansaviertel;1;D;65_70;129
01;Mitte;0103;Hansaviertel;1;D;70_75;132
01;Mitte;0103;Hansaviertel;1;D;75_80;137
01;Mitte;0103;Hansaviertel;1;D;80_85;84
01;Mitte;0103;Hansaviertel;1;D;85_90;31
01;Mitte;0103;Hansaviertel;1;D;90_95;27
01;Mitte;0103;Hansaviertel;1;D;95 und älter;3
01;Mitte;0103;Hansaviertel;2;A;00_05;25
01;Mitte;0103;Hansaviertel;2;A;05_10;3
01;Mitte;0103;Hansaviertel;2;A;10_15;10
01;Mitte;0103;Hansaviertel;2;A;15_20;16
01;Mitte;0103;Hansaviertel;2;A;20_25;161
01;Mitte;0103;Hansaviertel;2;A;25_30;254
01;Mitte;0103;Hansaviertel;2;A;30_35;159
01;Mitte;0103;Hansaviertel;2;A;35_40;68
01;Mitte;0103;Hansaviertel;2;A;40_45;51
01;Mitte;0103;Hansaviertel;2;A;45_50;43
01;Mitte;0103;Hansaviertel;2;A;50_55;28
01;Mitte;0103;Hansaviertel;2;A;55_60;36
01;Mitte;0103;Hansaviertel;2;A;60_65;24
01;Mitte;0103;Hansaviertel;2;A;65_70;30
01;Mitte;0103;Hansaviertel;2;A;70_75;15
01;Mitte;0103;Hansaviertel;2;A;75_80;22
01;Mitte;0103;Hansaviertel;2;A;85_90;7
01;Mitte;0103;Hansaviertel;2;D;00_05;61
01;Mitte;0103;Hansaviertel;2;D;05_10;60
01;Mitte;0103;Hansaviertel;2;D;10_15;42
01;Mitte;0103;Hansaviertel;2;D;15_20;65
01;Mitte;0103;Hansaviertel;2;D;20_25;121
01;Mitte;0103;Hansaviertel;2;D;25_30;106
01;Mitte;0103;Hansaviertel;2;D;30_35;123
01;Mitte;0103;Hansaviertel;2;D;35_40;90
01;Mitte;0103;Hansaviertel;2;D;40_45;79
01;Mitte;0103;Hansaviertel;2;D;45_50;90
01;Mitte;0103;Hansaviertel;2;D;50_55;129
01;Mitte;0103;Hansaviertel;2;D;55_60;146
01;Mitte;0103;Hansaviertel;2;D;60_65;128
01;Mitte;0103;Hansaviertel;2;D;65_70;138
01;Mitte;0103;Hansaviertel;2;D;70_75;120
01;Mitte;0103;Hansaviertel;2;D;75_80;143
01;Mitte;0103;Hansaviertel;2;D;80_85;129
01;Mitte;0103;Hansaviertel;2;D;85_90;68
01;Mitte;0103;Hansaviertel;2;D;90_95;32
01;Mitte;0103;Hansaviertel;2;D;95 und älter;9
01;Mitte;0104;Tiergarten;1;A;00_05;61
01;Mitte;0104;Tiergarten;1;A;05_10;71
01;Mitte;0104;Tiergarten;1;A;10_15;62
01;Mitte;0104;Tiergarten;1;A;15_20;71
01;Mitte;0104;Tiergarten;1;A;20_25;312
01;Mitte;0104;Tiergarten;1;A;25_30;598
01;Mitte;0104;Tiergarten;1;A;30_35;467
01;Mitte;0104;Tiergarten;1;A;35_40;358
01;Mitte;0104;Tiergarten;1;A;40_45;304
01;Mitte;0104;Tiergarten;1;A;45_50;206
01;Mitte;0104;Tiergarten;1;A;50_55;194
01;Mitte;0104;Tiergarten;1;A;55_60;162
01;Mitte;0104;Tiergarten;1;A;60_65;142
01;Mitte;0104;Tiergarten;1;A;65_70;70
01;Mitte;0104;Tiergarten;1;A;70_75;50
01;Mitte;0104;Tiergarten;1;A;75_80;38
01;Mitte;0104;Tiergarten;1;A;80_85;19
01;Mitte;0104;Tiergarten;1;A;85_90;15
01;Mitte;0104;Tiergarten;1;A;90_95;3
01;Mitte;0104;Tiergarten;1;D;00_05;265
01;Mitte;0104;Tiergarten;1;D;05_10;232
01;Mitte;0104;Tiergarten;1;D;10_15;189
01;Mitte;0104;Tiergarten;1;D;15_20;194
01;Mitte;0104;Tiergarten;1;D;20_25;290
01;Mitte;0104;Tiergarten;1;D;25_30;342
01;Mitte;0104;Tiergarten;1;D;30_35;389
01;Mitte;0104;Tiergarten;1;D;35_40;344
01;Mitte;0104;Tiergarten;1;D;40_45;326
01;Mitte;0104;Tiergarten;1;D;45_50;293
01;Mitte;0104;Tiergarten;1;D;50_55;362
01;Mitte;0104;Tiergarten;1;D;55_60;417
01;Mitte;0104;Tiergarten;1;D;60_65;348
01;Mitte;0104;Tiergarten;1;D;65_70;258
