ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",635,"New York, NY","16000US3651000","new-york-ny",1974,0.0002344608516891396
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",2985,"New York, NY","16000US3651000","new-york-ny",70188,0.008336544203828435
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",13444,"New York, NY","16000US3651000","new-york-ny",1171426,0.13913553072482374
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",4095.2832624862467,"New York, NY","16000US3651000","new-york-ny",167378,0.01988023730193759
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",5495.8989255625875,"New York, NY","16000US3651000","new-york-ny",138570,0.016458581671005102
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1659,"New York, NY","16000US3651000","new-york-ny",2713930,0.32141428776653114
0,"White Alone",1,"Hispanic or Latino",2018,"2018",12108,"New York, NY","16000US3651000","new-york-ny",889127,0.10530047622414453
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",3317,"New York, NY","16000US3651000","new-york-ny",1853055,0.2194597329397624
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",5884,"New York, NY","16000US3651000","new-york-ny",196363,0.02325552751496883
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",874.9999999999999,"New York, NY","16000US3651000","new-york-ny",15017,0.0017784829967574692
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",2414,"New York, NY","16000US3651000","new-york-ny",21058,0.0024939265462954508
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",3568,"New York, NY","16000US3651000","new-york-ny",1167421,0.1382591994777653
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",1243,"New York, NY","16000US3651000","new-york-ny",10279,0.001217355445406541
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",488,"New York, NY","16000US3651000","new-york-ny",2794,0.0003308970828354777
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",423.00000000000006,"New York, NY","16000US3651000","new-york-ny",1545,0.00018297637544052007
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",3676.9999999999995,"New York, NY","16000US3651000","new-york-ny",71758,0.008498394012207663
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",15071.000000000002,"New York, NY","16000US3651000","new-york-ny",1205292,0.14274431165531087
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",3748.4430101043286,"New York, NY","16000US3651000","new-york-ny",162601,0.019257049594177348
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",4742.358168675159,"New York, NY","16000US3651000","new-york-ny",133473,0.01580738236839646
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",1906.9999999999998,"New York, NY","16000US3651000","new-york-ny",2747159,0.320927090332885
0,"White Alone",1,"Hispanic or Latino",2017,"2017",12293,"New York, NY","16000US3651000","new-york-ny",914641,0.10684968537647814
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",3313,"New York, NY","16000US3651000","new-york-ny",1885890,0.2203123992415017
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",6198,"New York, NY","16000US3651000","new-york-ny",195617,0.02285226105574813
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",925,"New York, NY","16000US3651000","new-york-ny",15060,0.0017593309962813397
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",1908,"New York, NY","16000US3651000","new-york-ny",19427,0.0022694902566240097
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",2990,"New York, NY","16000US3651000","new-york-ny",1188404,0.13883107525263808
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",1062,"New York, NY","16000US3651000","new-york-ny",9930,0.0011600369716516404
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",409,"New York, NY","16000US3651000","new-york-ny",2819,0.00032931965992809406
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",378,"New York, NY","16000US3651000","new-york-ny",1539,0.00017978820738890982
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",3187,"New York, NY","16000US3651000","new-york-ny",74287,0.00867831485529561
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",14452,"New York, NY","16000US3651000","new-york-ny",1220210,0.1425466982053422
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",4004.146475842261,"New York, NY","16000US3651000","new-york-ny",154957,0.018102301008683104
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",5065.795988785967,"New York, NY","16000US3651000","new-york-ny",130132,0.015202208579554004
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",1693,"New York, NY","16000US3651000","new-york-ny",2729973,0.3226170624043292
0,"White Alone",1,"Hispanic or Latino",2016,"2016",10510,"New York, NY","16000US3651000","new-york-ny",915009,0.10813202755247868
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",3696,"New York, NY","16000US3651000","new-york-ny",1879364,0.22209556390061358
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",6014,"New York, NY","16000US3651000","new-york-ny",185563,0.021929077668876043
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",979.0000000000001,"New York, NY","16000US3651000","new-york-ny",14726,0.0017402585523615625
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",2061,"New York, NY","16000US3651000","new-york-ny",18662,0.0022053989613045957
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",3266,"New York, NY","16000US3651000","new-york-ny",1150513,0.13596292868757018
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",974.0000000000001,"New York, NY","16000US3651000","new-york-ny",9370,0.001107308341411642
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",390,"New York, NY","16000US3651000","new-york-ny",3002,0.000354764102552588
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",296,"New York, NY","16000US3651000","new-york-ny",993,0.00011734868548791468
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",3514.9999999999995,"New York, NY","16000US3651000","new-york-ny",75261,0.00889403768228192
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",13556.000000000002,"New York, NY","16000US3651000","new-york-ny",1202004,0.14204792482499032
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",4281.119596554154,"New York, NY","16000US3651000","new-york-ny",151177,0.01786548059013744
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",4829.287732160925,"New York, NY","16000US3651000","new-york-ny",126344,0.014930818045604323
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",1769,"New York, NY","16000US3651000","new-york-ny",2739755,0.3251262083108504
0,"White Alone",1,"Hispanic or Latino",2015,"2015",11590,"New York, NY","16000US3651000","new-york-ny",908459,0.10780665792228385
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",3213,"New York, NY","16000US3651000","new-york-ny",1885085,0.2237026808578356
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",5405,"New York, NY","16000US3651000","new-york-ny",180512,0.021421324941320746
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",1060,"New York, NY","16000US3651000","new-york-ny",15518,0.0018415181286530276
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",2010,"New York, NY","16000US3651000","new-york-ny",17272,0.0020496649773227927
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",3248,"New York, NY","16000US3651000","new-york-ny",1130979,0.13421306428830213
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",889.0000000000001,"New York, NY","16000US3651000","new-york-ny",8315,0.0009867394792982295
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",378,"New York, NY","16000US3651000","new-york-ny",2216,0.0002629723013980609
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",448,"New York, NY","16000US3651000","new-york-ny",1173,0.00013919968842054397
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",3196,"New York, NY","16000US3651000","new-york-ny",71417,0.008475041899343554
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",13818,"New York, NY","16000US3651000","new-york-ny",1198372,0.14221057886777846
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",4126.33069445482,"New York, NY","16000US3651000","new-york-ny",144476,0.01714493962851365
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",4438.668268749085,"New York, NY","16000US3651000","new-york-ny",123194,0.014619408708679024
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",1641,"New York, NY","16000US3651000","new-york-ny",2735082,0.3273630565289377
0,"White Alone",1,"Hispanic or Latino",2014,"2014",10866,"New York, NY","16000US3651000","new-york-ny",911679,0.10911922348699067
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",3214,"New York, NY","16000US3651000","new-york-ny",1886662,0.22581532800734994
