Name,Alias,Title
Tabom,tabom-vancouver-2,Korean
PiDGiN,pidgin-vancouver,Japanese
ARC Restaurant,arc-restaurant-vancouver,Canadian (New)
Stanley's Bar & Grill,stanleys-bar-and-grill-vancouver,Bars
Honeybrew,honeybrew-vancouver,Bistros
Kin Kao Song,kin-kao-song-vancouver,Thai
Hanai,hanai-vancouver,Hawaiian
LOCAL Public Eatery Gastown,local-public-eatery-vancouver-8,Gastropubs
Rodney's Oyster House,rodneys-oyster-house-vancouver,Seafood
Robba da Matti,robba-da-matti-vancouver,Italian
Fat Mao,fat-mao-vancouver-3,Asian Fusion
Yolks,yolks-vancouver,Coffee & Tea
Unchai Thai Restaurant,unchai-thai-restaurant-vancouver,Thai
Sushi Jin,sushi-jin-vancouver-4,Japanese
Gringo,gringo-vancouver,Mexican
Indian Delicacy,indian-delicacy-vancouver,Indian
LIFT Bar Grill View,lift-bar-grill-view-vancouver,Seafood
District Bar & Restaurant,district-bar-and-restaurant-vancouver,Cocktail Bars
Suyo Modern Peruvian,suyo-modern-peruvian-vancouver,Peruvian
Market Grill,market-grill-vancouver,Burgers
Brass Fish Tavern,brass-fish-tavern-vancouver,American
Kishimoto Japanese Kitchen,kishimoto-japanese-kitchen-vancouver,Japanese
Oyo Korean Noodles,oyo-korean-noodles-vancouver,Korean
Bacaro,bacaro-vancouver,Italian
Gary's,garys-vancouver,French
MeeT in Yaletown,meet-in-yaletown-vancouver,Comfort Food
MeeT in Gastown,meet-in-gastown-vancouver,Comfort Food
Mr Japanese Curry,mr-japanese-curry-vancouver,Japanese
Maxine's Cafe & Bar,maxines-cafe-and-bar-vancouver,Bars
Mott 32,mott-32-vancouver-2,Chinese
John 3:16 Malaysian Delights,john-3-16-malaysian-delights-vancouver-2,Malaysian
Katsu San,katsu-san-richmond,Japanese
Nook,nook-vancouver-4,Pizza
7-inch Waffle House,7-inch-waffle-house-vancouver-2,Waffles
La Saison de Patisserie,la-saison-de-patisserie-vancouver-2,Bakeries
Tekkaba,tekkaba-vancouver,Sushi Bars
La Taqueria Pinche Taco Shop,la-taqueria-pinche-taco-shop-vancouver-2,Mexican
Suika,suika-vancouver-2,Japanese
Alley 16,alley-16-vancouver,Barbeque
St Lawrence Restaurant,st-lawrence-restaurant-vancouver-2,French
Ash Street Bistro,ash-street-bistro-vancouver-3,Bistros
Arike Restaurant,arike-restaurant-vancouver-2,African
VV Tapas Lounge,vv-tapas-lounge-vancouver,Tapas Bars
Micha,micha-richmond,Chinese
Super Chef Grill,super-chef-grill-vancouver,Chinese
iDen & Quan Ju De Beijing Duck House,iden-and-quan-ju-de-beijing-duck-house-vancouver-4,Chinese
The Parlour,the-parlour-vancouver,Pizza
Jollibee,jollibee-vancouver-2,Fast Food
Black Walnut,black-walnut-vancouver,Seafood
Elisa,elisa-vancouver-2,Steakhouses
The Mexican Antojitos Y Cantina,the-mexican-antojitos-y-cantina-vancouver,Mexican
Harambe Restaurant,harambe-restaurant-vancouver,Ethiopian
Peaceful Restaurant,peaceful-restaurant-vancouver,Chinese
Archer,archer-vancouver,Desserts
Cuchillo,cuchillo-vancouver,Latin American
Rogue Kitchen & Wetbar,rogue-kitchen-and-wetbar-vancouver-2,American
Di Beppe,di-beppe-vancouver-3,Italian
Tableau Bar Bistro,tableau-bar-bistro-vancouver,Bars
Zoomak Korean Tavern,zoomak-korean-tavern-vancouver,Korean
Uma Sushi,uma-sushi-vancouver,Japanese
Holy Smoke,holy-smoke-vancouver,Bangladeshi
Fiorino,fiorino-vancouver,Italian
La Boqueria,la-boqueria-vancouver-2,Wine Bars
La Taqueria Pinche Taco Shop,la-taqueria-pinche-taco-shop-vancouver,Mexican
Ignite Pizzeria,ignite-pizzeria-vancouver-15,Pizza
Absinthe Bistro,absinthe-bistro-vancouver,French
Nostos Taverna,nostos-taverna-vancouver,Greek
La Notte Restaurant,la-notte-restaurant-vancouver,Italian
Salmon n' Bannock,salmon-n-bannock-vancouver,Canadian (New)
Cactus Club Cafe,cactus-club-cafe-vancouver,Canadian (New)
Bovine,bovine-vancouver,Japanese
One More Szechuan Chinese Cuisine,one-more-szechuan-chinese-cuisine-north-vancouver-2,Chinese
Bodega On Main,bodega-on-main-vancouver,Spanish
Delara,delara-vancouver,Persian/Iranian
Tap & Barrel - Convention Centre,tap-and-barrel-convention-centre-vancouver,Comfort Food
Les Faux Bourgeois,les-faux-bourgeois-vancouver,French
The Corner Hotpot,the-corner-hotpot-vancouver,Hot Pot
Kozak Ukrainian Restaurant,kozak-ukrainian-restaurant-vancouver-5,Ukrainian
Nam San,nam-san-vancouver,Korean
Sura Korean Cuisine,sura-korean-cuisine-vancouver,Korean
Kokoro Tokyo Mazesoba,kokoro-tokyo-mazesoba-vancouver-4,Japanese
Banana Leaf,banana-leaf-vancouver-5,Malaysian
Kook Korean BBQ,kook-korean-bbq-vancouver,Korean
The Dirty Apron Delicatessen,the-dirty-apron-delicatessen-vancouver-2,Cafes
Six Acres,six-acres-vancouver,Pubs
Nero Waffles,nero-waffles-vancouver,Waffles
Branas Mediterranean Grill,branas-mediterranean-grill-vancouver,Mediterranean
taps & tacos,taps-and-tacos-vancouver-2,Street Vendors
Laksa King,laksa-king-vancouver-2,Burmese
Banter Room,banter-room-vancouver,Canadian (New)
Smoke and Bones,smoke-and-bones-north-vancouver,Barbeque
Motonobu Udon,motonobu-udon-vancouver-3,Japanese
Breakfast Table,breakfast-table-vancouver,Breakfast & Brunch
Tutto,tutto-vancouver,Italian
Fable Diner,fable-diner-vancouver-2,Diners
La Belle Patate,la-belle-patate-vancouver,Fast Food
H2 Kitchen + Bar,h2-kitchen-bar-vancouver,Gastropubs
Browns Socialhouse QE Theatre,browns-socialhouse-qe-theatre-vancouver,Burgers
Autostrada,autostrada-vancouver-6,Italian
The Fish Counter,the-fish-counter-vancouver,Fish & Chips
Lamajoun,lamajoun-richmond-3,Mediterranean
Vij's Restaurant,vijs-restaurant-vancouver-2,Indian
Istanbul Doner,istanbul-doner-vancouver-2,Turkish
Zubu,zubu-vancouver-4,Ramen
The Templeton,the-templeton-vancouver,Breakfast & Brunch
L'Abattoir,l-abattoir-vancouver,French
RedBeef Noodle Kitchen,redbeef-noodle-kitchen-vancouver-2,Desserts
Mumu Kitchen,mumu-kitchen-vancouver,Korean
Number E Food,number-e-food-vancouver-2,Sandwiches
Monarca,monarca-vancouver-2,Mexican
The Roof,the-roof-vancouver,Seafood
Osteria Savio Volpe,osteria-savio-volpe-vancouver,Italian
Nook,nook-vancouver-2,Italian
Homura Yakiniku,homura-yakiniku-vancouver,Japanese
Super Smash Burgers,super-smash-burgers-vancouver,Fast Food
Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-vancouver-4,Japanese
Maruhachi Ra-men,maruhachi-ra-men-vancouver,Ramen
Menya Juemon,menya-juemon-vancouver,Ramen
MamaLee,mamalee-vancouver-2,Malaysian
Noah's Cafe,noahs-cafe-vancouver,Japanese
Go Fish Ocean Emporium,go-fish-ocean-emporium-vancouver,Seafood
