cuisine,name
Pizza,Skinny Duke's Glorious Emporium
Tapas/Small Plates,Salt & Brick
Italian,The Fixx Cafe & Pasta Bar
Pubs,Midtown Station
Italian,Gather
Japanese,Kasai Teppanyaki Steak & Sushi House
Bars,Nineteen Okanagan Grill and Bar
Italian,Roma Nord Bistro
Greek,Yamas
Chinese,Xing Yun
Burgers,Central
Dinner Theater,Bernie’s 
Canadian (New),JOEY Kelowna
Wine Bars,OAK + CRU Social Kitchen & Wine Bar
Creperies,Empire Crepe
Tapas/Small Plates,Waterfront Restaurant and Wine Bar
Chinese,Dragon King Restaurant
Canadian (New),RauDZ Regional Table
Hong Kong Style Cafe,Double J Hong Kong Fusion
Breakfast & Brunch,Okanagan
Korean,Bon Ga Korean Cuisine
American,Hidden Gem Restaurant
French,Bouchons Bistro
Canadian (New),Lakeside Dining Room
Sushi Bars,Sushi Sai
Canadian (New),Orchard Room
Greek,Olympia Pizza & Greek Taverna
Mexican,El Taquero - Tacos and Tequila
Pizza,The Curious Artistry & Alchemy Cafe
German,Wood Fire Bakery
Asian Fusion,T-ONE Restaurant
Thai,Satang Thai Cuisine
Bars,Basil & Mint Restaurant and Bar
Burgers,Split Decisions Craft Beer & Burger Bar
Japanese,Wasabi Izakaya
Vegetarian,Frankie We Salute You
Canadian (New),Browns Socialhouse Harvey
Canadian (New),Moxies
Pubs,The Train Station Pub
Breakfast & Brunch,OEB Breakfast
Comfort Food,Montana's
Canadian (New),The Modest Butcher
Italian,La Vela Pizzeria
Restaurants,Woodfire Restaurant
Japanese,Ume Foods
Mexican,Cantina Del Centro
Cafes,Naked Cafe
Soup,Little Hobo Soup & Sandwich Shop
Breakfast & Brunch,The Jammery
Japanese,Bluetail
Canadian (New),Cactus Club Cafe
Tapas/Small Plates,micro bar * bites
Canadian (New),Old Vines Restaurant
Sandwiches,Mad Mango Cafe
Canadian (New),Krafty Kitchen + Bar
Korean,Soban Korean Bistro
Korean,Kimbap & Sushi
Burgers,Leopold’s Tavern - Kelowna
Mexican,Chilango
Vietnamese,Bamboo Chopsticks Express
Seafood,West Coast Grill & Oyster Bar
Italian,The Old Spaghetti Factory
Breakfast & Brunch,Porter's
Sushi Bars,Tokyo 1 Asian Buffet Bar
Thai,Zabb Thai Restaurant Kelowna Mission
Chinese,Yum Yum Tree
Canadian (New),King Taps
Acai Bowls,Yuzu Bowl & Bistro
Canadian (New),Terrace Restaurant
American,Friends Pub
Thai,Basil Leaf Asian Fusion
Sushi Bars,KAYA Sushi + Grill
Italian,La Bussola
Breakfast & Brunch,The Bohemian Cafe & Catering Co
Tapas/Small Plates,Gulfstream
Burgers,Bin 4 Burger Lounge
Chinese,Imperial Banquet Restaurant
Indian,Chutneys Indian Grill
Beer Bar,CRAFT Beer Market Kelowna
Cuban,Soul de Cuba Café
Farmers Market,Hillcrest Farm Market & Cafe
Pizza,Jack's on Bernard
Vietnamese,Pho Soc Trang
Canadian (New),Cactus Club Cafe
Canadian (New),Diner Deluxe
Caribbean,The House of the Caribbean
Gastropubs,Home Block at CedarCreek Estate Winery
Pizza,DunnEnzies Pizza Co
Mexican,Los Jarros
American,Original Joe's
Vietnamese,Hoang Gia Vietnamese Cuisine
Cafes,Kekuli Cafe
Vietnamese,Basil Leaf
Breakfast & Brunch,Sunny's - A Modern Diner
Bars,Kettle Valley Public On Main
Asian Fusion,Humo Izakaya
Korean,Chicko Chicken
Barbeque,Memphis Blues Barbeque House
Canadian (New),The Harvest Grille
Breakfast & Brunch,Cherry Pit Restaurant
Vietnamese,Bamboo Chopsticks
Noodles,O-Machi
Steakhouses,The Keg Steakhouse + Bar
Portuguese,Barcelos Flame Grilled Chicken
Canadian (New),Earls Kitchen + Bar
Tapas/Small Plates,Tutt Street Tapas + Wine
Sushi Bars,Momo Sushi
Seafood,British Fish & Chips-Shady Rest
Themed Cafes,Catelowna Cat Cafe
Wineries,Fitzpatrick Family Vinyards
American,Creekside Pub & Grill
Sports Bars,Mickie's Pub
Food Trucks,The Boneyard BBQ & Grilling
Pizza,Antico Pizza Napoletana
Vietnamese,Bamboo Chopsticks
Seafood,Buy the Sea
Pizza,DunnEnzies Pizza
Buffets,the Buffet
Mexican,Barburrito
Asian Fusion,Soy Asian Fusion Restaurant
Sushi Bars,Joon's Kitchen
Mexican,Latin Fiesta
Japanese,Zen Sushi and Korean Cuisine
Buffets,Asian Pear Buffet
Japanese,Ozeki Japanese Restaurant
Bistros,Sunset Organic  Bistro
Pizza,Mamma Rosa Restaurant
Sushi Bars,Seki Noodlehouse
Sports Bars,The Canadian Brewhouse & Grill
Bakeries,Bread Co
Chinese,Lvs Restaurant
Mexican,Cantina del Centro Kelowna
Japanese,YAMA Kitchen
American,Sammy J's Grill & Bar
Pizza,Bad Tattoo
Salvadoran,Fiesta Del Sol
Breakfast & Brunch,The Jammery
Bars,Grizzly Bear Bistro & Bar
Mexican,Hector's Casa
"Beer, Wine & Spirits",Sessions Taphouse & Grill
Salad,Longshots Lounge
Ramen,Little Tokyo Ramen
Indian,Chutney Cuisine of India
Mexican,Bar Buritto
Indian,Everest Indian Restaurant
Sushi Bars,Atami Japanese Restaurant
Sushi Bars,Sushi Kojo
Mediterranean,Basha Donair & Shawarma
Donairs,Donair Dude
Cafes,Sprout Bread
Thai,Pick Thai
Thai,Bai Tong Thai Food Restaurant
Sports Bars,Dakoda's Sports Bar & Grill
Seafood,C-Lovers Fish & Chips
Canadian (New),Erica Jane
Pizza,Hashtag Pizza
Restaurants,MileStone Restaurant-Bar
Ramen,Ramen Arashi
Sandwiches,Press'd Sandwich Shop
Vietnamese,Chao Vietnamese Restaurant
Japanese,Mizu Japanese Restaurant
Pizza,Famoso
German,Post Haus Pub
Japanese,Makoto
Chinese,Golden Chopsticks
Coffee & Tea,Black Sheep Coffee Bar
Pizza,Five Star Joe
Mexican,Mucho Burrito Fresh Mexican Grill
Pizza,K-Town Pizzeria
Italian,Il Mercato
Breakfast & Brunch,De Dutch
Thai,Zabb Thai Restaurant -Kelowna Rutland
Sushi Bars,Bento Sushi
Seafood,The Broken Anchor
Cafes,The Galley - Lakeside Cafe
Sushi Bars,West Sakura Teriyaki Restaurant
Middle Eastern,Kayan Shawarma and Grill House
Bubble Tea,O Lake Cafe and Bistro
Bakeries,350 Bakehouse and Cafe
Delicatessen,Ferrara's Italian Market
Coffee & Tea,Marmalade Cat Cafe
Sushi Bars,Mi Ne Sushi House
Noodles,Noodlebox
Bakeries,The Sawdust Bakery
Chinese,Mekong Restaurant
Japanese,Momo Sushi
Pizza,Hansen's Classic Pizza
Mexican,Quesada Burritos & Tacos
Restaurants,Pepper Pot Grill
Coffee & Tea,Pulp Fiction Coffee House
Seafood,The Seafood Cafe
Pizza,Pizza Studio
"Beer, Wine & Spirits",South Street Burger
Chinese,J Wok Express
Pizza,Panjabi Pizzeria
Fruits & Veggies,Kelowna Fruit Stand
Fish & Chips,C-Lovers Fish & Chips
Food Trucks,YLW Tacos
Fast Food,Smoke's Poutinerie
Tapas Bars,Norcino
Chinese,Chan Fortune Restaurant
Sushi Bars,Bluetail
Caribbean,Lees Kitchen
Pizza,Freshslice Pizza
Comfort Food,Milestones
Mexican,Taco House
Restaurants,Ross Wayne
Thai,Mon Thong Thai Restaurant on Ellis
Delis,Valoroso Foods
Pizza,Jackknife Brewing
Chinese,Cedars Family Restaurant
Desserts,Milk Shed Coffeehouse
Indian,Dawett
Bakeries,Fezziwig's Artisan Bakery-Cafe
Breakfast & Brunch,Fezziwig's at Guisachan
Indian,Made in India
Sandwiches,The Sandwich
Fast Food,Arby’s 
Pubs,Tonics Pub
Asian Fusion,Golden Island Asian Cuisine
Food Trucks,Tak Oh
Delis,Helmut's Sausage Kitchen
Sushi Bars,Sushi Hama
Delis,Russian & Ukrainian Deli
Diners,Denny's
Indian,Dosa Crepe Cafe
Delis,Pearson's European Deli
Breakfast & Brunch,Pur & Simple
Salad,Earl of Sandwich
Indian,Royal Punjab
Thai,Mon Thong Thai Restaurant
Vietnamese,Vietnam Village Restaurant
Bars,Original Joe's Restaurant & Bar
Sandwiches,Deli City Cafe & Catering
Sushi Bars,Bento Sushi
Pizza,Tossing Pizzeria
Breakfast & Brunch,De Dutch
Japanese,Yamato Asian Restaurant
Mexican,Mucho Burrito Fresh Mexican Grill
Burgers,Red Robin Gourmet Burgers and Brews
Canadian (New),Pappas Roasters
Desserts,Amore Mio
Korean,J’s Cafe & Bistro
Breakfast & Brunch,Beet'N Boo's Bistro & Catering
Indian,Dosa Crepe Cafe
Fast Food,Triple O's
Sandwiches,Pita Pit
Pizza,Murray's Pizza
Coffee & Tea,Black Sheep Coffee Bar
Chicken Wings,WINGS Kelowna
Brewpubs,18Nine Eatery
Food Trucks,TNT Dynamite Gourmet
Breakfast & Brunch,Bread Co
Fast Food,A&W
Japanese,Kaiso Japanese and Thai Cuisine
Sushi Bars,Kaede Sushi
Bakeries,Two Donkeys Bakery
Fast Food,Oh So Potato
Burgers,Fatburger
Middle Eastern,Everest Indian & Nepale Cusine
Japanese,Wa Skew’R Sushi&Bar
Delis,Mediterranean Market
Italian,Pannizza
Mexican,TAMM Mexican Restaurant
Indian,Da Tandoor Fusion Indian Cuisine
Diners,Vintage Room
Delis,Illichmann's
Cafes,The Bike Shop Cafe and Catering Co
Vietnamese,Yellow Star Snack House
Indian,Pakwaan Restaurant
Gluten-Free,Big Fat Lion Bakeshop
Chinese,Mei Wei Chinese
Japanese,Dozo Japanese Restaurant
Food Trucks,Surf Side California
Fast Food,The Perogy Hut
Breakfast & Brunch,My Neighbourhood Restaurant
Chinese,Wok Inn Restaurant
Indian,Samosa Place
Juice Bars & Smoothies,Fresh Healthy Cafe - Kelowna
Food Court,Pritchard Dining Hall
Pizza,Red Swan Pizza
Food Trucks,Okanagan Turkish Bite
Japanese,OKA Japanese Restaurant
Pizza,Domino's Pizza
Coffee & Tea,Yanni's Grill
Asian Fusion,Asian Food Restaurant
Mediterranean,Subcity Donair
Pizza,Domino's Pizza
Bars,Baxter's Bar & Grill
Indian,Made in India Restaurant
Salad,Freshii
Cafes,Bliss Bakery - Kelowna
Burgers,White Spot
Indian,Mavara Indian Bistro
Japanese,Genjie Japanese Restaurant
Japanese,Ginza Sushi
Indian,eMDee’s Indian Bistro & Sweets
Burgers,Triple O's
Diners,Rickys All Day Grill
Sushi Bars,Bluetail Noodle House
Coffee Roasteries,Bright Jenny Coffee
Cafes,Marmalade Cat Cafe
Japanese,Pacific Poke
Indian,Made In India Restaurant
Fast Food,Dairy Queen Grill & Chill
Japanese,Taki Japanese Grill
Canadian (New),Cora
Mexican,Quesada Burritos & Tacos
Coffee & Tea,Barb's Delights
Canadian (New),Le Triskell Creperie
Salad,Wrap Zone
Farmers Market,The Allergic Chef
Japanese,Ginza Japanese Restaurant
Pizza,Buster's Pizza & Donair
Bakeries,Jaide & Joel's Baking
Breakfast & Brunch,IHOP
Pizza,Pandosy Pizza
Food Trucks,Eye Tasty Food
Pizza,Boston Pizza
Pizza,Little Caesar's Pizza
Sushi Bars,Aomi Sushi
Greek,OPA! of Greece Orchard Park
Ramen,Flip Flops & Hops Eatery
Fast Food,McDonald's
Breakfast & Brunch,White Spot
