Name,Alias,Title
Little Jumbo,little-jumbo-victoria,Canadian (New)
Red Fish Blue Fish,red-fish-blue-fish-victoria,Fish & Chips
Il Terrazzo Ristorante,il-terrazzo-ristorante-victoria,Italian
Finn's Seafood Chops Cocktails,finns-seafood-chops-cocktails-victoria,Seafood
Part and Parcel,part-and-parcel-victoria-2,Canadian (New)
Nubo Japanese Tapas,nubo-japanese-tapas-victoria,Sushi Bars
Little Yunnan Restaurant,little-yunnan-restaurant-victoria,Asian Fusion
Brasserie L'ecole,brasserie-l-ecole-victoria,French
Fishhook,fishhook-victoria,Seafood
Bodega,bodega-victoria,Tapas/Small Plates
Chimac Korean Pub & Fried Chicken,chimac-korean-pub-and-fried-chicken-victoria-2,Korean
Block Kitchen + Bar,block-kitchen-bar-victoria,Asian Fusion
Momi Noodle,momi-noodle-victoria,Chinese
L'Authentique Poutine and Burgers,l-authentique-poutine-and-burgers-victoria,Burgers
10 Acres Bistro,10-acres-bistro-victoria-4,Brasseries
Jam Cafe,jam-cafe-victoria,Breakfast & Brunch
Il Covo Trattoria,il-covo-trattoria-victoria,Italian
Pagliacci's,pagliaccis-victoria,Seafood
Ithaka Greek Restaurant,ithaka-greek-restaurant-victoria,Greek
NUBO Kitchen + Bar,nubo-kitchen-bar-victoria,Japanese
Nourish In The Harbour,nourish-in-the-harbour-victoria,Breakfast & Brunch
Chubby Dumpling,chubby-dumpling-victoria,Dumplings
Bao,bao-victoria,Asian Fusion
The Cozy Place Restaurant,the-cozy-place-restaurant-victoria,Chinese
John's Place,johns-place-victoria,Breakfast & Brunch
Aura Waterfront Restaurant + Patio,aura-waterfront-restaurant-patio-victoria,Seafood
Fathom,fathom-victoria,Canadian (New)
Farmhouse,farmhouse-victoria,Cafes
Blue Fox Cafe,blue-fox-cafe-victoria,Breakfast & Brunch
The Fish Store,the-fish-store-victoria,Seafood Markets
The Ruby,the-ruby-victoria,Breakfast & Brunch
Nautical Nellies Steak & Seafood House,nautical-nellies-steak-and-seafood-house-victoria,Seafood
ENe Raw Food and Sake Bar,ene-raw-food-and-sake-bar-victoria,Japanese
Foo,foo-victoria,Asian Fusion
Yua Japanese Bistro,yua-japanese-bistro-victoria,Japanese
MAiiZ Nixtamal,maiiz-nixtamal-victoria,Mexican
Ferris' Upstairs Seafood & Oyster Bar,ferris-upstairs-seafood-and-oyster-bar-victoria,Bars
Perro Negro,perro-negro-victoria,Tapas/Small Plates
La Pasta,la-pasta-victoria,Italian
Virtuous Pie,virtuous-pie-victoria,Pizza
Ox King Noodles,ox-king-noodles-victoria,Chinese
Eva Schnitzelhaus,eva-schnitzelhaus-victoria,Desserts
Good Ovening,good-ovening-victoria,Chicken Shop
Boom + Batten,boom-batten-victoria,Pizza
Indian Aroma Restaurant,indian-aroma-restaurant-victoria-2,Indian
The Courtney Room,the-courtney-room-victoria,Seafood
Hanks A Restaurant,hanks-a-restaurant-victoria-3,Canadian (New)
Fiamo,fiamo-victoria,Italian
Fork'n Pork,forkn-pork-victoria,Comfort Food
Blue Crab Seafood House,blue-crab-seafood-house-victoria-2,Seafood
Floyd’s Diner James Bay,floyd-s-diner-james-bay-victoria,Breakfast & Brunch
Dumpling Drop,dumpling-drop-victoria,Dumplings
Uchida Eatery / Shokudo,uchida-eatery-shokudo-victoria,Japanese
Q at The Empress,q-at-the-empress-victoria,Seafood
Superbaba,superbaba-victoria,Middle Eastern
Fireside Grill,fireside-grill-victoria,Mediterranean
Ugly Duckling,ugly-duckling-victoria,Canadian (New)
Legislative Dining Room,legislative-dining-room-victoria,Breakfast & Brunch
BeaverTails - Victoria,beavertails-victoria-victoria-4,Desserts
The Drake Eatery,the-drake-eatery-victoria,Tapas/Small Plates
Wind Cries Mary,wind-cries-mary-victoria,Wine Bars
