Name
Southfork Drive-In
SUBWAY Henderson York
Randy's BBQ & Breakfast
Farmer Brown's
Farmer Brown's Steakhouse
Big John's Restaurant
South Side Diner
Pizza Hut
Hot Stuff Pizza
SUBWAY Shell C-Store
Champs Chicken
Casey's
Highway 10 Kitchen
Runza
Sand Hills Lounge
Pizza Hut
L Bow Room
Edee's Pizza
Sand Hills Lounge
Big Daddys Diner
D & B Cafe
