Name
SONIC Drive-In
SUBWAY the University of West Alabama
Jack's-Now Open
Larkin Restaurant
Hardee's
Pizza Hut
Church's Chicken
Dandy Don's
TJ's BBQ
China Dragon
Burger King Livingston
Diamond Jim's & Ms Donna's
Wing the Naked
Little Caesars
Austins Steakhouse
Tres Hermanos
Taste of India
SUBWAY Express Foods
McDonald's
L & B Travel Plaza
T-N-T BBQ
Brass Monkey
Hot Stuff Pizza
Touch of Home Mennonite Bakery
