Name
SONIC Drive-In
Wagon Wheel Drive-In
Scurry North 40
SUBWAY Snyder Scurry
Kim's Donut
Lee's Pizza
Scurry-Rosser Nutrtion Hub
Skeets Texas Grill 4
The Mayo Sauce
Tio Lencho's
Whataburger
Jaramillo's Mexican Restaurant
Taqueria y Gorditas San Pancho
Esmi Cocina
Taqueria Guadalajara
Mrs. Kathy's Southern Comforts
Chubbys Diner
Minerva's Homestyle Mexican Food
Tacos Chacho's
SUBWAY
Flamingo Pinks Shaved Ice
Stamford Donuts
Laredo Taco Company
Tiger Donuts
Sabores Restaurant
Amore
Chicken Express
Cowboys Steakhouse & Restaurant
Dragon China Buffet
Dairy Queen
Pizza Inn
The Shack
Little Caesars
Driven Nutrition
Myra's Burrito
Gran & Pops BBQ & Burgers
Dairy Queen
Vicky's
Bella Sera Italian Restaurant
BURGER KING
Pizza Hut
Crystale's Flour Tortillas
McDonald's
Joni's Icecream Parlor
Spanish Inn
London Bleu
Dee's Burrito Shop
Butcher's Block
La Roca Restaurant
Taco Bell
Hot Mamaz
Amore
Domino's
Sushi House
Tacos Del Sur
Katz Private Club
Snow Shakers
Gills Fried Chicken
Jaramillo's Mexican Food
Taqueria Ramirez
El Tejano
Normas Cafe
Josies Place
Imelda's Cocina
Tamales Over Tex-Mex
Topos Tacos
Domino's
Polynesian Gardens
Union Grill
Rolling Thunder Bar & Grill
Casa Sanchez
Happy Texan Cafe
Taquería La Gloria
Givi's Pub
Snyder Doughnuts
BURGER KING
The Hornytoad Pub & Grub
Blackland Smokehouse
Joe's Diner
Downtown Coffee
Taste of India
Ponderosa
Starlee's Kitchen
Sweets Shop
Wooden Spike Guest Ranch
Mighty Joe
Joe's Diner
The Dolphin's Restaurant & Grill
Country Cafe
Hench Wild Wings Ranch
Blue Ribbon Cafe
Mrs Kathy's Apple of My Pie
Cardinal Cafe
Jack & Jill Donuts
Ponderosa Motel
