Name
SONIC Drive-In
SUBWAY Princeton Caldwell
El Rio Mexican Restaurant
Brenda's Kitchen
Buffet Pizza
Heaton's
Kay's Kitchen
Big Johns BBQ
Aunt M
Pickle Barrel
Black Patch Grille
Adsmore Museum
Martin's Donuts
A&W
Gather on Main
Whistle Stop Donuts
La Potosina
Casey's
Kfc Princeton
Shamrock
Dairy Queen Grill & Chill
Pizza Hut
Adams Breezy Hill Farm Restaurant & Mercantile
Berry Sweet
Enterprises McEnaney
Coppertop Bar-B-Q
Crooked Tail Distilling Co
Taco John's
Taco Bell
Captain D's Seafood
Hardee's
Mj's Lattes
Cedar Lounge
Little Caesars
Godfather's Pizza
Los Agaves
Coon Dog Inn Restaurant
Field House
Little Caesars
Peggy's Cafe
Great Wall Buffet
Hunt Brothers Pizza
Majestic House Restaurant
Pagliai's
McDonald's
Casa Victoria
