Name
Bubbas Drive In
SUBWAY Whitesburg Letcher
Kentucky River Grill
SUBWAY Isom Letcher
Joe's Packs Drive
Parkway Restaurant
Black Bear Pizzeria & Country Store
McDonald's
Long John Silver's
Giovanni's Pizza
Lee's Famous Recipe Chicken
Sazon Mexican
Paradise Pizza
Hunt Brothers Pizza
Lil's Hollywood
Micks Place
Hardee's
Pizza Hut
Dairy Queen
Little Caesars
The Pine Restaurant & Bar
Wendy's
Las Pena Mexican Restaurant
Pine Mountain Grill & Gifts
Heritage Kitchen
Hillbillies BBQ
The Pine Restaurant & Bar
Hobo's Diner
Raven Rock Golf Course
Evelyn Taylor
Papa John's
Paco's Mexican Restaurant
Arby's
Taco Bell
Dairy Hut
Hunt Brothers Pizza
StreetSide Grill & Bar
Holcomb's Custard Stand
Laspenas Mexican Restaurant
Kfc Whitesburg
Jumbo House
