Name
Elliott's Pizzeria
P-Mart Restaurant
Giovanni's
Hunt Brothers Pizza
Giovanni's-Sandy Hook
McDonald's
Penny Mart Restaurant
Hunt Brothers Pizza
Frosty Freeze
Smith's Restaurant
Frosty Freeze
