Name
Fulton Tavern
SUBWAY Rochester Fulton
SUBWAY Akron Fulton
B & K Drive In
Dick's Drive In
Hardee's
Den Tavern
Kfc Rochester
Casey's
Dilly's Restaurant & Bar
Nubiano's Pizza
Rochester Bagel & Coffee House
A-Town Pizza Company
Sallie's by The Shore
Sunny Side Up Cafe
Pizza King
Kibitzer
Jonesy's Junction
Dairy Queen
Agaves Mexican Grill
Arby's
Garcia's Mexican Food
Tony's Grill
Rochester Meat & Deli Market
Los Compadres Restaurant
The Streamliner Central Restaurant
Tony's Fusion North
El Cielito Lindo Rochester
North Side of the Border
Taco Bell
The Mallard
Kristy's Hometown Bar & Grill
Mama's Pizza
Portside Pizza
Anne Marie's Pizza
Chi-Am Garden
El Huarache Loco
Slappy's Rib Shack
Tweedle Dee's
El Machete Family Restaurant
Mi Camino Real Mexican Restaurant
A Piece of Cake
Kewanna Kafe
Dug Out
Las Cabanas
Mikeys Pizza Pit Stop
Evergreen Eatery
Jarrety's Place
Country Inn
Kaffeine Coffee Company
McDonald's
Pizza Hut
Wings Etc.
Corner Pocket
Bourbon Street Pizza
Holsum of Fort Wayne
Iron Skillet
Larry J Calhoun
Wendy's
Cunningham Restaurant Group
Noble Roman's
Hunt Brothers Pizza
Tip A Canoe Brews
Beth's Kitchen the VFW
Uncorked
Burger King Rochester
SUBWAY Shell Gas Station
Mike's Pizza
Putt's Bar & Grill
Alejandra's Family Restaurant
The Dam Landing
"Pike Garage Doors, WBE"
Other Guy
Pablano's Mexican Restaurant
Lighthouse Kitchen
Cozy Corner Cafe
