Name
SUBWAY Anaconda Deer Lodge
Louie's Montana Pastys
Copper Bowl Restaurant
Hangout Café
Momma T's Family Diner
The Haufbrau
Dough House Bakery
Locker Room
Stokes Market
Peppermint Patty's
Coffee Corral of Anaconda
Gallicanos Pizzeria
New China Cafe
TacoTime
Donivan's Restaurant Pub & Casino
Jimmy John's
Classic Cafe
Barclay 2 Supper Club
May Palace Chinese
O'Bella-Italian Restaurant
Panda Cafe
Wings & Things
Casa Toscana
First Quarter Restaurant
Tillie's Diner
Pizza Hut
Dairy Queen
Sugar & Spice Bakery
SUBWAY Sinclair Gas Station/C-Store
Pizza Hut
Blutaco
4B's Cafe
406 Coffee Cabin & Kaffeination Station
Pony Expresso
River Rock Cafe
Sesame Wok
Champs Chicken
The Outpost
McDonald's
A&W
4B's Restaurant
Old Prison Cow Ice Cream
Broken Arrow Steak House & Casino
The Chicken House
Timber Eatery
Prison Pizza
Yak Yak's
Boomerang Bakery
Daily Grind Deli
McDonald's
406 Bistro
The Snack Station
Jack's Grille
Anaconda Country Club
Uncle Bucks
Carmel's Sports Bar & Grill
Brown Derby
Firefly Cafe
