Name
SUBWAY New Castle Craig
Pine Top Restaurant & Pizza
Matties Roastery
Hong Kong Chinese Restaurant
Bibos Pizzeria
Wendy's
SUBWAY Covington Covington City
BGS Family Restaurant
Sarah's Burgers & Shakes
The Swinging Bridge
Long John Silver's
Kentucky Fried
Kfc Covington
Hutch on Main
Locust Mountain Grill
Cracker Barrel
