Name
SUBWAY Elkton Todd
Cedarwood Restaurant
Shellma's Country Market
The Pizza Place
Clifty Cafe
Lena-Nem
L & R Soda Bar
Jefferson Davis State Historic Site
The Spot
Sisters Dinning
Torito Mexican Restaurant
Schlabach's Bakery
SUBWAY Beach Oil Gas/C-Store
Town Grill
Helen's Places
Kay's Family Diner & Buffet
Tiny Town Pizza & Subs
Dairy Queen
Red Top
Southern Legends Station
Dairy Queen
Godfather's Pizza
Trenton Market & Cafe
American Cafe
Mike's BBQ
Hampton's Dairy Mart
Boondocks Pizza & Grill
MIke's Place
