Name
Jay's Drive-In
SUBWAY Calhoun Mclean
SUBWAY Livermore Mclean
Geno's Pizza
Maryanns Kitchen
Lighthouse
Duos BBQ and Grill
Cross Roads Pizza
Mrs. Janey's House
Little BS Pizza
Blue Jays Cafe
The Farmhouse Restaurant
Bridge View Pizzeria
Livermore Cafe
IDK Family Restaurant
Dairy Freeze
Lou's Diner
Little Stevie Pizza
