city,state,pop,white_pop,black_pop,asian_pop,indigenous,pacific_pop,hisp_pop,two_pop
Jefferson,Colorado,582881,533460,8525,18060,7115,711,90862,15010
Jefferson,Texas,251565,148550,85807,9923,2635,237,55576,4413
Jefferson,New York,109834,96096,7465,1891,755,352,8561,3275
Johnson,Kansas,602401,521897,29795,32236,2458,246,47723,15769
Kalamazoo,Michigan,265066,215196,31342,7486,1414,152,13823,9476
Kane,Illinois,532403,460805,31910,23290,5453,429,172361,10516
Kankakee,Illinois,109862,89385,16479,1182,492,51,11917,2273
Kaufman,Texas,136154,110658,18934,2027,1380,128,31663,3027
Kenosha,Wisconsin,169561,147859,12570,2985,1278,170,22817,4699
Kootenai,Idaho,165697,156633,700,1527,2217,239,8186,4381
La Crosse,Wisconsin,118016,107710,1906,5555,583,52,2473,2210
Lancaster,Pennsylvania,545724,489252,28337,13852,2282,570,59831,11431
Lebanon,Pennsylvania,141793,131311,5299,2184,524,116,20058,2359
Lee,Florida,770577,669132,69979,13513,3800,835,173497,13318
Lexington,South Carolina,298750,237431,46912,6602,1593,301,18794,5911
Litchfield,Connecticut,180333,168181,4347,3899,624,135,12800,3147
Lorain,Ohio,309833,266930,27797,4206,1194,227,32185,9479
Los Angeles,California,10039107,7098309,899166,1545445,143968,36651,4881970,315568
Lubbock,Texas,310569,268765,24402,7367,3638,418,112706,5979
Lucas,Ohio,428348,317839,87137,7383,1779,228,31604,13982
Luzerne,Pennsylvania,317417,283339,21003,4511,2080,282,43740,6202
Macomb,Michigan,873972,701552,110081,37197,2912,292,24084,21938
Macon,Illinois,104009,80810,18465,1203,285,53,2489,3193
Madera,California,157327,135183,6555,4018,6982,481,92483,4108
Madison,Mississippi,106272,61071,40683,2957,366,73,3334,1122
Madison,Illinois,262966,230444,23226,2710,911,171,9035,5504
Madison,Indiana,129569,114461,11083,778,519,78,5648,2650
Madison,Alabama,372909,256828,92709,9978,2998,392,19352,10004
Marathon,Wisconsin,135692,123179,1233,8210,772,72,4052,2226
Maricopa,Arizona,4485414,3713896,286319,207711,127006,12953,1408855,137529
Marion,Indiana,964582,612791,280667,36906,4321,596,105062,29301
McLean,Illinois,171517,143541,14401,8772,510,92,8862,4201
Medina,Ohio,179746,171801,2691,2330,371,47,4135,2506
Merced,California,277680,228145,10937,21568,7041,1061,169442,8928
Mercer,Pennsylvania,109424,99885,6408,787,247,29,1759,2068
Merrimack,New Hampshire,151391,142348,2652,3392,433,56,3459,2510
Mesa,Colorado,154210,144861,1462,1598,2365,212,22846,3712
Middlesex,New Jersey,825062,495858,98599,205588,5482,962,182108,18573
Midland,Texas,176832,155319,12205,4012,2070,216,81342,3010
Milwaukee,Wisconsin,945726,607355,257616,44089,9295,431,147611,26940
Missoula,Montana,119600,109719,603,2211,3239,118,4094,3710
Mobile,Alabama,413210,243845,149709,8559,3880,173,12443,7044
Monroe,Michigan,150500,141942,3998,1036,589,50,5641,2885
Monroe,New York,741770,569934,120501,27359,3083,540,68088,20353
Monroe,Indiana,148431,127577,5519,10821,484,107,5274,3923
Monterey,California,434061,359555,14970,29210,11278,2627,257721,16421
Montgomery,Alabama,226486,80422,134356,7424,765,215,8344,3304
Montgomery,Pennsylvania,830915,659350,83004,67286,1977,519,45162,18779
Montgomery,Texas,607391,533645,35538,19784,5925,733,152837,11766
Muskegon,Michigan,173566,140892,24230,1198,1764,69,10079,5413
Napa,California,137744,115199,3388,12258,1746,577,47660,4576
