ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
217,"Korea",2021,"2021",2,"Foreign born",,10360,2497.8331041403508,"Ohio","04000US39"
218,"Kazakhstan",2021,"2021",2,"Foreign born","KAZ",626,614.2573695867301,"Ohio","04000US39"
219,"Kyrgyzstan",2021,"2021",2,"Foreign born","KGZ",236,377.16067649495784,"Ohio","04000US39"
222,"Kuwait",2021,"2021",2,"Foreign born","KWT",1393,916.2724221228907,"Ohio","04000US39"
223,"Laos",2021,"2021",2,"Foreign born","LAO",2677,1270.1340234355473,"Ohio","04000US39"
224,"Lebanon",2021,"2021",2,"Foreign born","LBN",3997,1551.9155268847808,"Ohio","04000US39"
226,"Malaysia",2021,"2021",2,"Foreign born","MYS",1499,950.490800344269,"Ohio","04000US39"
228,"Mongolia",2021,"2021",2,"Foreign born","MNG",46,166.51479452850518,"Ohio","04000US39"
229,"Nepal",2021,"2021",2,"Foreign born","NPL",9159,2348.711882310731,"Ohio","04000US39"
231,"Pakistan",2021,"2021",2,"Foreign born","PAK",5287,1784.7683272772226,"Ohio","04000US39"
233,"Philippines",2021,"2021",2,"Foreign born","PHL",17222,3219.5752782704694,"Ohio","04000US39"
235,"Saudi Arabia",2021,"2021",2,"Foreign born","SAU",4231,1596.6811499490852,"Ohio","04000US39"
236,"Singapore",2021,"2021",2,"Foreign born","SGP",464,528.841085824149,"Ohio","04000US39"
238,"Sri Lanka",2021,"2021",2,"Foreign born","LKA",1299,884.8208893887631,"Ohio","04000US39"
239,"Syria",2021,"2021",2,"Foreign born","SYR",3685,1490.134632311349,"Ohio","04000US39"
240,"Taiwan",2021,"2021",2,"Foreign born","TWN",3737,1500.6083249253552,"Ohio","04000US39"
242,"Thailand",2021,"2021",2,"Foreign born","THA",3442,1440.1796824085113,"Ohio","04000US39"
243,"Turkey",2021,"2021",2,"Foreign born","TUR",1901,1070.3621471000824,"Ohio","04000US39"
245,"United Arab Emirates",2021,"2021",2,"Foreign born","ARE",1103,815.3464118118791,"Ohio","04000US39"
246,"Uzbekistan",2021,"2021",2,"Foreign born","UZB",3775,1508.2161232844312,"Ohio","04000US39"
247,"Vietnam",2021,"2021",2,"Foreign born","VNM",10372,2499.2780317756174,"Ohio","04000US39"
248,"Yemen",2021,"2021",2,"Foreign born","YEM",197,344.5912434148751,"Ohio","04000US39"
249,"Asia",2021,"2021",2,"Foreign born",,2973,1338.4968591930322,"Ohio","04000US39"
253,"South Central Asia, not specified",2021,"2021",2,"Foreign born",,14,91.86255453040634,"Ohio","04000US39"
254,"Other Asia, not specified",2021,"2021",2,"Foreign born",,910,740.5914011782695,"Ohio","04000US39"
300,"Bermuda",2021,"2021",2,"Foreign born","BMU",195,342.8376161556696,"Ohio","04000US39"
301,"Canada",2021,"2021",2,"Foreign born","CAN",14815,2986.4282663013273,"Ohio","04000US39"
303,"Mexico",2021,"2021",2,"Foreign born","MEX",44514,5170.115660544236,"Ohio","04000US39"
310,"Belize",2021,"2021",2,"Foreign born","BLZ",132,282.07155253333707,"Ohio","04000US39"
311,"Costa Rica",2021,"2021",2,"Foreign born","CRI",1210,853.9749252643736,"Ohio","04000US39"
312,"El Salvador",2021,"2021",2,"Foreign born","SLV",8893,2314.380560667446,"Ohio","04000US39"
