cuisine,name
Cocktail Bars,Cactus Club Cafe
Barbeque,Happy Tree House BBQ
Chinese,Once More
Noodles,Wang's Shanghai Cuisine
Italian,Magari by Oca
Juice Bars & Smoothies,Obanhmi
Breakfast & Brunch,Tap & Barrel - Bridges
Ramen,Ramen Danbo
Chinese,Paul's Kitchen
Chinese,R & H Chinese Food
Cantonese,Wang Ji Restaurant Cafe
Italian,Italian Tomato Restaurant
Hot Pot,ChoCho Hot Pot
Chinese,Grains Fish Noodle
Burmese,Amay’s House
Japanese,Kumo Sukiyaki
Food Stands,Japadog
Persian/Iranian,Anar Persian Cuisine
Taiwanese,Uncle Lu
Japanese,Tendon Kohaku
Chinese,Hot Pot Hero
Chinese,Richmond Night Market
Chinese,Bing and Noodles World
Thai,Kin Kao Song
Thai,Talay Thai Restaurant
Japanese,Teriyaki boys
Seafood,Happy Fish House
Greek,Kisamos Greek Taverna
Seafood,Sharkey's Seafood Bar & Grille
Chinese,Nine Ninety
Korean,Tabom
Cafes,Doughgirls
Japanese,Sake Dining HASHIGO by Zakkushi
Barbeque,Mr Beigai BBQ Restaurant
Seafood,LIFT Bar Grill View
Waffles,Eggette House
Peruvian,Suyo Modern Peruvian
Japanese,STEM Japanese Eatery
Taiwanese,Pearl House Restaurant
Fast Food,Fritz European Fry House
Korean,Han Sang
Vietnamese,CoM Vietnamese
Cafes,The Northern Cafe and Grill
Halal,Al Basha Original
Vietnamese,Little Minh's
Meat Shops,Parker Place Aberdeen Meat & B.B.Q
Korean,Nam San
Japanese,Okini Restaurant & Bar
Italian,Il Posto
Japanese,Katte Poke Don & Japanese Curry
Bars,Eggspectation
Halal,Silkway Halal Cuisine
Chinese,Miss Fu In Chengdu
Hot Dogs,Chung Chun Rice Hot Dog
Syrian,Yasma
Hot Pot,Big Way Hot Pot
Bars,Fogg 'n' Suds Restaurant & Beer Bar
Pizza,Minerva Restaurant
Pizza,Sopra Sotto
Italian,Nook
Filipino,Little Ongpin
Japanese,Shoku
Bars,Golden Time
Fish & Chips,Harry's Fish & Chips
Chinese,Chinese Sauerkraut Fish
Food Court,James Snacks
Bistros,Ash Street Bistro
Chinese,Lee Chong Asian Foods
Lebanese,Manoush'eh
Cantonese,Peaches
Chinese,Chef Tian's
Sports Bars,The Canadian Brewhouse & Grill
Steakhouses,Two Stones Grill
Dim Sum,Master Rice Roll
Food Trucks,Ye’s BBQ
Thai,Zab Zaab Thai Cuisine
Sports Bars,Catch Kitchen + Bar
Japanese,Ajishou Japanese Cuisine
Chinese,That Year China
Chinese,Golden Paramount Seafood Restaurant
Italian,Bacaro
Japanese,Kanae Yakiniku
Italian,Robba Da Matti
Vietnamese,Pho Tan’s
Persian/Iranian,Noon & Reyhoon
Lebanese,Mazahr Lebanese Kitchen
Sandwiches,Cafe and Grill on Cambie
Chinese,Kowloon Restaurant Group
Japanese,Hello Nori 
Buffets,The Buffet
Breakfast & Brunch,Breakfast Table
Delis,Hawkers Delight Deli
Chicken Wings,L A Chicken
Chinese,Chuan Siang Kitchen
Spanish,Bodega On Main
Indonesian,Potluck Hawker Eatery
Tapas/Small Plates,Published On Main
Chinese,Chongqing Noodle House
Fast Food,Chipotle Mexican Grill
Dim Sum,Dinesty Dumpling House
Chinese,Mr Fu's Chinese Restaurant
Restaurants,Spike Lounge & Grill
Middle Eastern,Aleph Eatery
Cafes,Bread x Butter Cafe
Burgers,Lulu Burger
Afghan,Afghan Chopan Restaurant
Ramen,AFURI ramen + dumpling
Wine Bars,L'ufficio
Hot Pot,Sichuan Kungfu Fish
Barbeque,The Meat Up
Barbeque,Chinatown BBQ
Chinese,Chuan BBQ Restaurant
Hot Pot,Gokudo Shabu Shabu-Burnaby
Japanese,Kokoro Tokyo Mazesoba
Malaysian,MamaLee
Bistros,The Second Floor Bistro
Canadian (New),The Grill Restaurant
Hot Pot,World Malatang
Japanese,New Fuji
Chinese,Shanghai Wonderful Restaurant
Gastropubs,The Darkside
Noodles,Kam Ho Noodle Express
Taiwanese,LuRouFan Tasty
Taiwanese,Monga Fried Chicken
Chinese,Kwan Luck Restaurant
Korean,Tae’s Korean Cuisine
Pizza,Steveston Pizza Company
Korean,Dolpan Seoul BBQ
Lounges,75 West Coast Grill
Hot Pot,Ai-Boiled
Chinese,Yummy Yummy
Bubble Tea,ZuiYunNan Rice Noodle
Filipino,O! Taho
Korean,Mapo Pancake House
Food Trucks,Fisherman Frank’s Food Truck
British,Steveston's Best of British
Canadian (New),Forage
Persian/Iranian,Delara
Barbeque,Montana's BBQ & Bar Tsawwassen
Cafes,Riverside Cafe
Korean,88 Noodle House
Hawaiian,Hanai
Diners,Salmon N Bannock On The Fly
Pizza,Mercante
Korean,Na-Re Korean Kitchen
Filipino,Epic Grill Silogs + Sans Rival
Korean,Frying Pan
Japanese,Mr. Black Restaurant
Chinese,Top Shanghai Cuisine Restaurant
Italian,Ask For Luigi
Seafood,Corner 29
Hot Pot,The Corner Hotpot
Chinese,Lu Charcoal Grill
Sandwiches,Subway
Canadian (New),Macan's Bar + Grill
Chinese,Neptune Wonton Noodle
Asian Fusion,Urban Crave
Malaysian,John 3:16 Malaysian Delights
Italian,La Notte Restaurant
Korean,Mumu Kitchen
Cocktail Bars,Harbour Oyster + Bar
Burgers,Rice Burger
Taiwanese,Joy's Taiwanese Kitchen
Asian Fusion,Jess' Restaurant
Italian,Zefferelli's
Italian,Casereccio Foods
